,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.18,1.73,1.48,1.51,1.76,1.53,0.36,0.34,0.29,0.58,0.34,1.4,0.26,0.15,0.29,0.31
c_1,1.51,0.16,1.45,1.61,3.33,1.77,0.4,0.16,1.12,0.43,0.34,0.27,0.42,0.21,0.32,0.27
e_1,1.01,1.77,0.16,1.76,1.57,1.98,0.46,0.35,0.36,0.53,0.35,0.41,0.28,0.28,2.15,0.28
b_1,1.95,0.83,1.68,0.15,1.61,1.82,0.66,0.41,0.46,0.53,1.1,0.31,0.39,0.25,0.29,0.24
d_1,1.81,1.76,2.22,1.59,0.14,1.17,0.41,1.73,0.36,0.27,0.32,0.34,0.38,0.29,0.33,0.15
a_1,1.81,1.77,2.02,0.98,1.5,0.1,0.53,0.4,0.29,0.52,0.42,0.33,1.3,0.27,0.34,0.25
h_1,0.92,1.14,0.71,0.99,1.01,0.82,0.06,0.2,0.18,0.38,0.2,0.17,0.2,0.48,0.16,0.12
d_0,1.01,0.82,0.5,1.12,2.21,1.33,0.28,0.08,0.21,0.27,0.14,0.15,0.2,0.1,0.2,0.11
c_0,0.82,4.42,0.92,1.05,0.45,1.12,0.26,0.26,0.07,0.25,0.17,0.18,0.2,0.16,0.17,0.13
g_1,0.97,0.95,1.03,0.85,0.92,0.95,0.22,0.23,0.2,0.05,0.19,0.17,0.21,0.13,0.17,0.39
b_0,0.73,1.59,0.86,2.62,0.66,0.92,0.26,0.26,0.1,0.28,0.06,0.15,0.19,0.12,0.18,0.15
f_0,2.45,1.26,1.07,0.84,0.6,0.75,0.27,0.17,0.16,0.17,0.16,0.05,0.18,0.14,0.17,0.08
a_0,0.85,1.22,0.87,1.17,0.75,1.54,0.31,0.22,0.14,0.28,0.09,0.21,0.05,0.14,0.19,0.13
h_0,0.82,0.86,0.91,1.13,0.87,1.08,0.5,0.18,0.18,0.25,0.17,0.19,0.14,0.33,0.17,0.12
e_0,0.96,1.05,4.29,0.72,0.78,0.81,0.35,0.17,0.16,0.25,0.15,0.1,0.14,0.12,0.04,0.1
g_0,0.99,0.92,0.86,1.01,0.87,0.87,0.2,0.2,0.18,0.6,0.13,0.19,0.22,0.12,0.13,0.29
