,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.95,0.74,0.4,0.39,0.36,0.27,0.27,0.3,0.26,0.23,0.22,0.16,0.2,0.13,0.16,0.21
e_1,0.44,0.95,0.58,0.4,0.32,0.31,0.29,0.48,0.26,0.24,0.3,0.26,0.29,0.15,0.21,0.21
c_1,0.54,0.39,0.94,0.42,0.71,0.32,0.31,0.26,0.17,0.22,0.18,0.24,0.26,0.21,0.16,0.18
d_1,0.61,0.52,0.39,0.95,0.39,0.25,0.29,0.23,0.44,0.23,0.28,0.25,0.31,0.18,0.2,0.2
b_1,0.53,0.51,0.39,0.46,0.94,0.59,0.3,0.3,0.29,0.24,0.17,0.25,0.28,0.2,0.14,0.21
a_1,0.6,0.49,0.49,0.58,0.39,0.94,0.42,0.38,0.35,0.37,0.38,0.32,0.27,0.24,0.18,0.25
h_1,0.97,0.77,0.65,0.8,0.61,0.41,0.76,0.44,0.41,0.49,0.39,0.41,0.31,0.33,0.32,0.43
d_0,0.77,0.69,1.18,0.5,0.77,0.44,0.48,0.68,0.4,0.42,0.42,0.42,0.44,0.35,0.28,0.39
c_0,0.89,0.81,0.67,0.7,0.58,0.49,0.58,0.57,0.68,0.46,0.76,0.46,0.47,0.32,0.36,0.4
g_1,0.79,0.74,0.88,1.0,0.65,0.5,0.43,0.47,0.41,0.75,0.41,0.54,0.39,0.35,0.32,0.21
b_0,1.0,0.85,0.93,0.68,0.57,0.34,0.6,0.55,0.44,0.51,0.68,0.4,0.53,0.36,0.63,0.37
f_0,0.8,0.73,0.89,0.89,0.72,0.58,0.55,0.57,0.46,0.43,0.5,0.68,0.46,0.64,0.38,0.36
h_0,1.22,0.8,0.84,0.8,0.66,0.56,0.46,0.61,0.55,0.58,0.52,0.43,0.41,0.31,0.33,0.5
e_0,1.11,0.71,0.9,1.06,0.84,0.56,0.64,0.58,0.58,0.46,0.48,0.46,0.5,0.61,0.42,0.5
a_0,1.16,0.94,0.94,1.0,0.91,0.29,0.56,0.76,0.56,0.44,0.41,0.46,0.62,0.45,0.63,0.43
g_0,0.86,0.89,0.89,1.38,0.73,0.57,0.53,0.5,0.58,0.51,0.52,0.7,0.44,0.4,0.41,0.36
