,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.66,0.73,1.13,1.2,1.05,0.98,0.54,0.51,0.48,0.37,0.41,0.47,0.34,0.35,0.36,0.5
f_1,1.14,0.65,1.01,1.12,1.01,0.86,0.4,0.49,0.39,0.4,0.37,0.45,0.23,0.32,0.33,0.31
d_1,1.21,1.21,0.64,0.99,1.08,1.0,0.5,0.35,0.55,0.44,0.4,0.37,0.34,0.21,0.38,0.34
c_1,0.93,1.1,1.39,0.64,1.21,0.93,0.49,0.49,0.27,0.44,0.35,0.37,0.34,0.31,0.33,0.33
b_1,1.16,1.34,1.16,0.77,0.62,1.19,0.57,0.56,0.43,0.53,0.48,0.41,0.38,0.36,0.39,0.42
a_1,1.42,1.68,1.33,1.3,0.85,0.57,0.7,0.68,0.58,0.47,0.52,0.44,0.44,0.44,0.57,0.43
h_1,1.71,1.83,1.61,1.72,1.71,1.38,0.55,0.81,0.67,0.58,0.58,0.69,0.54,0.55,0.56,0.52
g_1,1.8,1.97,1.87,1.84,1.95,1.61,0.7,0.53,0.71,0.72,0.69,0.72,0.48,0.59,0.72,0.65
d_0,1.29,1.83,2.26,2.16,1.92,1.71,0.93,1.01,0.58,0.65,0.72,0.71,0.61,0.6,0.62,0.69
c_0,2.19,2.12,1.3,2.56,1.7,2.08,0.95,0.83,0.94,0.56,0.97,0.68,0.63,0.6,0.64,0.67
b_0,2.05,2.1,1.71,2.89,2.66,1.84,0.95,0.94,0.81,0.48,0.56,0.73,0.67,0.59,0.8,0.66
f_0,1.85,2.67,1.89,2.27,2.12,1.94,0.79,0.66,0.8,0.7,0.82,0.54,0.71,0.49,0.72,0.74
h_0,2.16,2.57,2.14,2.08,1.97,1.74,1.22,1.02,0.8,0.83,0.69,0.7,0.72,0.66,0.65,0.67
g_0,2.32,2.57,2.7,2.3,2.28,2.01,0.86,1.09,0.88,0.81,0.75,0.83,0.63,0.78,0.82,0.72
a_0,2.45,2.47,2.16,2.48,2.81,2.59,1.04,0.91,0.93,0.83,0.52,0.76,0.75,0.73,0.54,0.76
e_0,2.64,3.17,2.36,2.61,2.17,2.19,1.06,0.93,0.91,0.88,0.87,0.56,0.78,0.71,0.8,0.53
