,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.02,1.34,1.53,1.64,2.51,14.71,24.89,30.13,36.79,45.07,45.33,72.28,93.2,97.89,95.17
d_1,0.97,1.0,1.02,1.16,1.54,2.35,16.61,22.38,36.14,37.94,44.34,48.02,67.6,99.12,86.7,96.92
e_1,0.75,0.98,1.0,1.47,1.55,2.3,16.36,30.08,29.48,46.31,45.05,50.87,75.11,83.97,100.7,88.88
c_1,0.65,0.85,0.68,1.0,1.58,2.07,11.93,19.3,18.55,17.56,24.97,33.01,49.09,58.39,67.11,76.24
b_1,0.61,0.65,0.64,0.65,1.0,2.48,10.78,17.37,17.86,21.12,29.62,27.9,46.52,54.85,61.6,68.66
a_1,0.4,0.42,0.44,0.48,0.4,1.0,6.62,11.59,10.38,12.81,23.07,16.37,28.1,42.19,37.01,31.1
h_1,0.07,0.06,0.06,0.08,0.09,0.15,1.0,1.82,1.8,1.99,2.79,2.77,4.23,5.2,6.23,5.77
g_1,0.04,0.05,0.04,0.05,0.06,0.09,0.55,1.0,1.02,1.02,1.58,1.95,2.59,3.33,3.25,3.96
c_0,0.03,0.03,0.03,0.06,0.05,0.1,0.57,1.0,1.0,1.3,2.24,1.73,2.51,3.3,2.99,3.73
d_0,0.03,0.03,0.02,0.06,0.05,0.08,0.51,0.98,0.72,1.0,1.31,1.39,2.06,2.47,2.89,3.18
b_0,0.02,0.02,0.02,0.04,0.03,0.05,0.37,0.59,0.45,0.76,1.0,1.02,1.72,3.18,2.26,2.31
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.36,0.51,0.57,0.73,0.91,1.0,1.65,1.76,1.73,3.06
h_0,0.01,0.01,0.01,0.02,0.02,0.03,0.24,0.4,0.4,0.49,0.62,0.61,1.0,1.11,1.6,1.27
a_0,0.01,0.01,0.01,0.02,0.02,0.02,0.18,0.29,0.29,0.41,0.32,0.53,0.89,1.0,1.04,1.28
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.31,0.32,0.36,0.43,0.6,0.64,0.96,1.0,1.13
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.25,0.26,0.3,0.46,0.32,0.74,0.84,0.87,1.0
