,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.1,2.47,1.47,2.93,2.59,2.17,0.68,0.77,0.54,0.61,0.67,0.53,0.38,0.55,0.69,0.41
d_1,2.77,1.08,2.54,2.63,2.51,2.16,0.64,0.44,0.46,0.74,0.5,0.42,0.34,0.48,0.44,0.23
f_1,2.36,2.48,1.09,2.36,2.6,2.25,0.54,0.79,0.49,0.5,0.64,0.46,0.29,0.46,0.48,0.43
c_1,2.1,3.35,2.78,1.1,2.7,2.56,0.77,0.98,0.84,0.34,0.56,0.59,0.38,0.5,0.56,0.33
b_1,2.98,3.15,3.49,1.67,1.1,2.58,0.91,0.92,0.8,0.59,0.57,0.84,0.42,0.62,0.63,0.42
a_1,4.38,4.53,4.91,3.67,2.18,1.12,1.32,1.21,1.09,1.07,0.95,1.4,0.59,1.26,0.83,0.61
h_1,8.25,8.63,9.02,9.06,8.54,7.99,1.51,2.28,1.73,2.0,1.74,1.78,1.67,1.48,1.46,1.3
g_1,11.48,10.01,11.29,12.29,10.69,9.17,2.61,1.53,2.07,2.77,1.96,2.27,1.24,2.07,2.0,1.95
c_0,13.58,7.46,12.36,18.11,16.27,11.36,3.33,2.88,1.73,4.32,2.5,2.38,2.04,2.45,2.42,1.65
d_0,7.77,18.71,11.4,13.83,12.39,10.94,3.81,4.23,2.64,1.81,2.79,3.02,1.97,2.56,2.68,2.29
f_0,14.02,13.16,18.94,13.76,14.74,12.81,3.68,2.72,2.73,3.3,1.82,2.53,2.0,2.5,2.53,1.34
b_0,13.96,12.54,14.64,23.11,20.15,13.73,3.76,3.46,1.78,3.47,2.86,1.86,2.05,2.76,2.67,1.97
h_0,19.39,18.51,20.06,17.21,17.12,17.81,6.38,5.65,3.86,4.51,3.5,3.4,3.55,3.47,3.19,2.73
a_0,21.54,17.22,18.63,24.58,24.68,21.89,5.68,5.35,3.31,4.51,4.19,2.15,3.09,2.09,4.17,2.98
e_0,24.58,18.61,27.5,20.38,17.12,16.54,5.4,5.08,4.18,4.41,2.2,3.98,2.76,3.7,1.93,2.37
g_0,23.58,20.49,24.71,20.51,21.62,22.59,4.71,6.66,4.5,5.26,4.13,4.27,2.4,3.56,3.88,3.51
