,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,1.29,1.57,2.18,3.5,18.75,45.76,40.2,38.56,50.93,69.95,61.51,83.97,,147.85
f_1,1.25,1.0,1.28,1.25,1.56,3.47,13.94,29.62,37.74,35.43,40.68,,83.73,68.35,84.7,132.52
d_1,0.77,0.78,1.0,1.13,1.27,3.22,16.37,,20.41,41.21,38.79,43.67,72.64,80.23,85.83,87.9
c_1,0.64,0.8,0.88,1.0,1.69,3.34,12.13,18.61,25.01,,35.4,38.93,57.11,78.14,84.62,109.77
b_1,0.46,0.64,0.79,0.59,1.0,3.03,10.44,20.2,18.85,20.4,,38.46,46.29,54.18,52.85,
a_1,0.29,0.29,0.31,0.3,0.33,1.0,4.54,7.33,,9.51,,17.08,,19.28,25.01,34.81
h_1,0.05,0.07,0.06,0.08,0.1,0.22,1.0,1.62,1.62,1.85,2.25,2.92,3.88,,6.6,7.48
d_0,0.02,0.03,,0.05,0.05,0.14,0.62,1.0,1.26,1.06,1.46,1.46,2.72,2.48,3.13,4.29
g_1,0.02,0.03,0.05,0.04,0.05,,0.62,0.79,1.0,1.15,1.42,2.22,2.23,2.87,3.67,
c_0,0.03,0.03,0.02,,0.05,0.11,0.54,0.94,0.87,1.0,1.77,1.6,2.07,2.59,2.88,3.91
b_0,0.02,0.02,0.03,0.03,,,0.45,0.69,0.71,0.57,1.0,1.42,,1.89,1.86,2.1
f_0,0.01,,0.02,0.03,0.03,0.06,0.34,0.68,0.45,0.63,0.7,1.0,1.34,1.8,2.68,1.68
a_0,0.02,0.01,0.01,0.02,0.02,,0.26,0.37,0.45,0.48,,0.75,1.0,1.16,1.26,
h_0,0.01,0.01,0.01,0.01,0.02,0.05,,0.4,0.35,0.39,0.53,0.56,0.86,,0.94,1.81
e_0,,0.01,0.01,0.01,0.02,0.04,0.15,0.32,0.27,0.35,0.54,0.37,0.79,1.06,1.0,1.33
g_0,0.01,0.01,0.01,0.01,,0.03,0.13,0.23,,0.26,0.48,0.6,,0.55,0.75,
