,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.94,0.31,0.24,0.22,0.25,0.22,0.18,0.14,0.11,0.3,0.18,0.17,0.18,0.14,0.13,0.12
f_1,0.27,0.94,0.47,0.28,0.22,0.16,0.17,0.18,0.18,0.17,0.16,0.08,0.15,0.12,0.17,0.07
e_1,0.32,0.26,0.94,0.27,0.25,0.2,0.2,0.16,0.29,0.2,0.19,0.16,0.15,0.13,0.12,0.05
c_1,0.31,0.27,0.29,0.94,0.4,0.19,0.23,0.19,0.18,0.07,0.13,0.18,0.18,0.12,0.14,0.13
b_1,0.36,0.31,0.32,0.24,0.93,0.31,0.18,0.17,0.19,0.17,0.09,0.19,0.16,0.15,0.16,0.13
a_1,0.34,0.37,0.33,0.29,0.23,0.93,0.26,0.26,0.23,0.22,0.23,0.2,0.17,0.08,0.18,0.14
h_1,0.59,0.76,0.48,0.47,0.47,0.3,0.72,0.47,0.32,0.29,0.29,0.25,0.22,0.27,0.31,0.22
g_1,0.89,0.5,0.54,0.56,0.47,0.24,0.28,0.72,0.34,0.37,0.34,0.37,0.3,0.26,0.09,0.23
d_0,0.38,0.65,0.52,0.83,0.47,0.33,0.42,0.32,0.62,0.3,0.39,0.28,0.35,0.21,0.27,0.3
c_0,0.51,0.69,0.57,0.46,0.52,0.42,0.45,0.33,0.44,0.61,0.6,0.33,0.41,0.3,0.24,0.3
b_0,0.68,0.78,0.54,0.66,0.29,0.32,0.44,0.36,0.37,0.34,0.63,0.29,0.39,0.43,0.31,0.19
f_0,0.74,0.45,0.58,0.5,0.52,0.39,0.49,0.33,0.46,0.44,0.41,0.61,0.32,0.34,0.29,0.55
h_0,0.68,1.01,0.64,0.47,0.56,0.4,0.26,0.41,0.38,0.4,0.37,0.35,0.23,0.28,0.38,0.2
a_0,0.59,0.82,0.77,0.68,0.41,,0.39,0.37,0.57,0.47,0.39,0.36,0.42,0.59,0.36,0.23
g_0,1.0,0.57,0.74,0.65,0.47,0.33,0.39,,0.39,0.44,0.42,0.5,0.33,0.3,0.21,0.3
e_0,0.86,0.93,0.54,0.66,0.63,0.35,0.48,0.38,0.39,0.41,0.58,0.29,0.55,0.28,0.36,0.59
