,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.12,6.16,5.0,5.41,5.09,4.81,1.38,2.43,0.95,1.07,0.98,0.94,0.6,0.99,0.86,0.49
e_1,5.43,1.13,2.99,5.33,6.2,5.23,2.02,1.18,1.95,1.28,1.41,1.18,0.93,1.12,3.6,1.0
f_1,4.67,5.2,1.13,5.17,6.01,7.09,0.96,1.2,1.75,0.89,2.08,0.91,0.51,0.94,0.92,0.77
c_1,7.26,4.43,5.72,1.13,5.34,5.98,1.47,0.62,1.79,2.72,0.99,1.08,0.95,1.15,1.05,1.05
b_1,6.95,7.31,9.15,3.75,1.13,5.87,2.24,1.26,1.89,1.9,1.23,4.99,1.11,1.68,1.52,1.08
a_1,8.59,8.37,9.51,12.27,4.55,1.14,3.85,1.91,3.07,2.13,2.03,2.61,1.91,5.93,2.28,1.58
h_1,17.61,18.46,20.82,19.21,17.6,15.41,1.81,3.97,7.6,3.45,4.22,4.11,5.46,3.42,3.18,2.82
d_0,43.39,11.83,23.71,21.2,26.07,19.52,6.63,2.48,6.41,4.36,3.87,4.7,3.35,3.68,4.18,3.87
g_1,24.37,22.37,23.87,25.71,27.38,19.34,4.55,5.84,1.82,5.41,4.19,4.86,2.97,5.93,4.64,4.91
c_0,12.02,27.05,22.91,53.52,25.34,17.67,7.51,7.27,7.03,2.3,5.54,6.28,3.68,4.84,5.07,3.75
f_0,21.31,26.63,53.34,25.71,27.95,20.3,8.65,5.34,4.67,5.36,2.42,5.27,3.59,3.85,4.53,2.14
b_0,20.81,23.57,27.98,39.82,49.29,25.62,7.58,6.57,6.88,2.63,5.0,2.44,3.59,6.02,4.94,3.33
h_0,31.49,27.91,39.7,29.95,37.14,28.47,14.74,6.9,7.98,6.18,5.95,5.7,7.62,6.02,5.58,4.21
a_0,29.65,36.34,37.93,41.33,50.2,85.42,10.21,10.19,8.28,7.05,7.24,3.83,6.6,2.61,6.42,5.18
e_0,33.25,74.23,60.96,41.86,35.67,25.31,11.37,9.49,8.38,7.46,3.69,7.66,4.97,6.4,2.6,5.55
g_0,34.54,40.57,48.77,33.66,30.46,37.27,8.94,8.87,20.44,6.69,8.56,8.6,4.65,7.35,6.87,7.23
