,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.1,2.75,2.57,3.07,2.87,2.8,0.61,0.7,0.82,0.58,0.58,0.83,0.31,0.57,0.49,0.6
e_1,1.87,1.1,3.12,3.4,3.27,2.83,0.89,0.77,0.9,0.59,0.65,0.84,0.44,0.55,0.54,1.1
d_1,3.28,3.53,1.1,3.2,3.37,2.78,0.76,1.29,0.55,0.64,0.51,0.62,0.39,0.52,0.31,0.57
c_1,3.5,2.77,4.17,1.11,3.25,2.89,0.9,0.39,1.08,0.91,0.64,0.65,0.51,0.64,0.39,0.56
b_1,4.23,3.72,3.93,2.11,1.12,4.19,1.18,0.71,1.16,1.1,1.21,0.71,0.56,0.76,0.58,0.67
a_1,7.42,5.99,6.33,5.88,2.64,1.13,2.16,1.18,2.0,1.26,1.85,1.28,1.0,1.72,0.91,1.06
h_1,12.09,11.98,11.2,13.2,10.22,8.14,1.67,2.37,3.48,2.81,2.57,2.4,2.35,2.13,1.61,2.22
d_0,14.18,8.19,20.45,17.58,14.39,14.69,5.19,2.0,4.99,3.3,3.64,2.97,2.36,3.11,2.37,2.85
g_1,15.49,15.04,12.91,16.93,16.07,13.15,3.32,3.91,1.68,3.26,3.3,2.83,1.61,2.82,3.03,2.62
c_0,15.55,15.56,9.03,23.61,16.43,16.94,5.43,4.41,4.03,2.03,3.44,3.22,2.36,3.03,2.22,3.31
b_0,17.13,16.34,13.16,22.62,23.14,15.28,4.66,4.01,4.38,1.84,1.97,2.87,2.37,3.06,2.12,2.85
f_0,26.06,16.12,16.72,16.67,16.43,18.61,5.66,3.59,3.14,3.23,3.61,2.03,2.57,3.98,1.61,2.93
h_0,22.99,20.9,21.9,23.78,26.78,18.43,9.21,5.7,5.37,4.56,4.07,4.37,4.83,4.57,3.32,3.42
a_0,27.01,27.03,23.91,24.5,37.08,25.07,9.01,7.51,7.08,4.53,2.89,5.48,3.59,2.59,3.46,5.38
g_0,28.47,25.14,28.29,28.88,29.81,29.38,6.46,5.85,10.56,5.96,5.35,5.97,3.27,4.46,4.84,4.69
e_0,42.06,37.45,22.94,28.62,27.81,28.92,8.12,5.8,8.59,5.44,6.08,2.83,4.37,5.69,3.49,2.43
