,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.53,0.93,1.43,1.04,0.91,0.68,1.08,1.3,1.08,1.1,1.17,0.88,1.19,1.01,0.71,1.0
d_1,1.19,1.56,1.07,0.8,0.9,0.86,1.23,1.04,1.04,1.82,1.29,1.1,1.34,1.1,1.08,1.1
e_1,0.98,0.95,1.55,1.27,0.89,0.81,1.13,1.87,1.11,1.13,1.26,1.35,1.3,1.01,1.03,1.22
c_1,1.03,1.18,0.88,1.58,1.48,0.95,1.04,0.95,1.01,0.88,0.94,1.02,1.25,1.01,0.9,1.25
b_1,1.04,1.16,1.0,0.84,1.62,1.43,1.22,1.13,1.09,1.22,0.88,1.15,1.3,0.84,0.97,1.3
a_1,1.3,1.13,1.12,0.96,0.98,1.75,1.39,1.33,1.28,1.2,1.25,1.21,1.43,0.96,1.09,1.16
h_1,1.51,1.21,1.32,1.43,1.05,1.0,1.87,1.42,1.59,1.26,1.41,1.34,1.35,1.14,1.19,1.86
d_0,1.3,1.17,1.07,1.99,1.31,1.08,1.48,1.79,1.3,1.03,1.46,1.47,1.6,1.28,1.32,1.51
g_1,1.25,1.69,1.16,1.39,1.16,0.98,1.45,1.32,1.93,1.48,1.48,1.69,1.51,1.45,1.35,1.52
c_0,1.4,1.11,1.46,1.34,0.97,1.16,1.6,1.91,1.45,1.84,2.43,1.65,1.72,1.51,1.45,1.57
b_0,1.33,1.3,1.29,1.6,1.1,0.91,1.57,1.59,1.48,1.29,1.88,1.51,1.89,2.22,1.64,1.64
f_0,1.32,1.29,1.09,1.51,1.36,1.23,1.66,1.57,1.42,1.54,1.52,1.87,1.67,1.34,2.24,1.48
h_0,1.79,1.35,1.44,1.41,1.18,0.95,1.37,1.59,1.74,1.44,1.51,1.41,1.53,1.34,1.32,1.9
a_0,1.36,1.41,1.32,1.45,1.41,1.13,1.87,1.7,1.43,1.6,1.47,1.69,1.93,1.92,1.48,1.84
e_0,1.72,1.34,1.16,1.57,1.43,1.14,1.78,1.62,1.65,1.59,1.51,1.28,2.16,1.57,1.97,1.57
g_0,1.46,1.74,1.24,1.41,1.19,1.27,1.42,1.63,1.25,1.67,1.69,1.95,1.57,1.4,1.71,1.51
