,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.65,1.03,0.6,0.57,0.51,0.61,2.34,1.77,2.14,2.63,2.56,0.44,4.64,3.0,1.95,4.01
e_1,0.65,5.96,0.57,0.6,0.45,0.59,2.49,2.26,5.41,3.23,3.15,3.02,3.82,2.9,1.03,3.73
d_1,0.59,0.59,6.13,0.49,0.58,0.53,2.51,1.93,0.9,5.59,2.92,3.54,4.54,2.61,3.66,4.64
c_1,0.45,0.63,0.64,6.95,1.31,0.55,1.66,1.86,2.65,0.56,2.76,2.87,3.7,2.79,2.79,4.94
b_1,0.56,0.53,0.54,0.6,7.78,1.1,1.95,1.87,3.31,3.24,0.93,3.68,4.57,2.28,3.41,3.27
a_1,0.73,0.63,0.59,0.53,0.56,10.31,2.31,3.02,2.13,2.8,2.52,1.8,3.91,1.0,3.15,3.44
h_1,1.6,0.71,1.04,1.15,0.96,0.87,14.33,5.17,5.33,5.17,5.38,5.61,3.03,4.41,6.14,9.7
g_1,0.88,0.81,1.48,1.23,0.85,0.68,3.67,18.91,4.82,4.83,6.14,8.9,5.57,5.53,5.18,3.07
d_0,1.22,1.05,0.37,2.54,0.94,0.87,3.59,3.21,13.3,2.99,4.21,4.61,7.88,4.75,6.03,5.93
c_0,1.2,1.14,1.22,0.54,0.93,0.8,4.43,3.16,5.92,12.3,10.07,5.38,10.47,5.14,8.09,9.84
b_0,1.21,0.94,1.12,1.1,0.54,0.68,4.27,4.81,5.36,5.07,15.68,6.65,9.69,10.56,5.79,8.74
f_0,0.49,0.92,1.3,1.22,1.11,1.38,4.09,4.96,5.92,5.04,4.26,17.13,6.95,7.47,12.1,9.01
h_0,1.59,0.87,1.04,1.06,0.9,0.9,1.7,3.93,4.56,4.9,5.5,4.95,3.93,6.39,5.35,11.6
a_0,0.96,1.0,1.12,1.24,1.1,0.37,4.34,5.06,5.89,6.85,5.65,6.63,7.55,22.6,6.64,8.0
e_0,0.97,0.38,1.26,1.48,0.94,1.21,3.85,4.03,4.67,5.85,6.34,6.67,11.6,6.3,20.92,9.07
g_0,0.9,0.9,1.92,0.95,0.94,1.05,3.11,1.44,4.09,5.46,4.81,6.79,6.99,6.47,4.88,3.14
