,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.92,1.23,1.02,1.01,0.86,0.88,0.99,0.87,1.05,0.96,0.93,0.86,0.98,0.85,1.03
d_1,1.1,1.0,1.03,0.96,0.92,0.98,1.0,0.87,1.2,0.98,1.06,0.98,0.93,1.06,1.02,0.79
e_1,0.82,0.98,1.0,1.15,1.06,0.95,1.05,1.13,1.0,1.37,1.01,1.15,1.08,0.96,1.05,1.09
c_1,0.98,1.03,0.85,1.0,1.34,1.0,0.97,0.98,0.84,0.76,0.81,0.94,1.07,0.92,0.96,1.02
b_1,1.0,1.1,0.96,0.75,1.0,1.4,1.09,1.02,1.1,0.96,1.07,1.03,1.05,0.95,1.02,1.19
a_1,1.15,1.0,1.08,1.01,0.74,1.0,1.15,1.08,1.1,1.03,1.16,1.06,1.12,1.07,1.03,1.07
h_1,1.12,0.99,0.98,1.02,0.91,0.84,1.0,1.17,0.98,0.94,0.98,0.97,1.11,1.05,0.99,1.18
g_1,0.99,1.12,0.86,1.02,0.97,0.91,0.87,1.0,0.97,0.89,0.94,1.15,0.82,0.93,1.03,1.03
c_0,1.13,0.86,1.0,1.19,0.91,0.84,1.05,1.05,1.0,1.13,1.24,1.0,1.04,1.07,0.95,0.98
d_0,0.91,1.03,0.76,1.32,1.03,0.94,1.07,1.09,0.86,1.0,1.04,1.05,1.02,0.98,1.01,1.11
b_0,1.05,0.93,0.97,1.25,0.95,0.82,1.03,1.04,0.78,0.99,1.0,0.95,1.03,1.35,0.95,0.97
f_0,1.05,1.05,0.84,1.09,1.0,0.92,1.03,0.84,1.02,1.0,1.04,1.0,1.09,1.03,1.41,0.84
h_0,1.15,1.03,0.97,0.93,0.93,0.91,0.95,1.17,0.94,0.92,0.97,0.88,1.0,0.94,0.92,1.1
a_0,1.03,0.93,1.01,1.08,1.04,0.94,0.91,1.04,0.9,0.98,0.76,0.92,1.06,1.0,1.04,0.99
e_0,1.16,0.96,0.99,1.03,0.98,0.93,1.03,0.97,1.04,0.97,1.07,0.73,1.11,1.01,1.0,0.88
g_0,0.99,1.24,0.92,0.95,0.83,0.9,0.87,0.94,0.98,0.87,1.01,1.18,0.92,1.07,1.12,1.0
