,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,3.86,0.43,0.39,0.44,0.37,0.31,0.67,1.59,0.74,0.71,0.73,0.72,0.93,0.74,0.93,0.14
f_1,0.67,4.02,0.38,0.36,0.35,0.36,0.72,0.7,0.92,0.76,0.85,0.23,0.87,0.9,0.92,0.85
d_1,0.36,0.48,4.09,0.39,0.31,0.35,0.91,0.21,1.45,0.57,1.01,0.99,0.8,0.8,0.83,0.75
c_1,0.4,0.42,0.3,4.33,0.76,0.39,0.69,0.89,0.09,0.74,0.51,0.83,1.07,0.5,0.89,0.98
b_1,0.42,0.37,0.45,0.36,4.78,0.72,0.7,0.68,0.79,0.63,0.15,0.73,0.83,0.78,0.84,0.78
a_1,0.38,0.31,0.46,0.43,0.41,6.87,0.85,0.68,0.81,0.66,0.97,0.99,0.8,0.2,0.89,0.84
h_1,0.57,0.92,0.78,0.64,0.63,0.67,5.03,1.5,1.24,1.85,1.54,1.24,0.53,1.41,1.79,1.5
d_0,0.59,0.71,0.21,1.4,0.73,0.78,1.21,3.63,1.05,1.54,1.58,1.49,1.7,1.06,0.98,1.53
c_0,0.6,0.72,0.74,0.36,0.58,0.78,1.47,1.39,3.74,1.55,3.01,1.6,1.4,2.02,1.59,1.54
g_1,0.66,0.71,0.98,0.68,0.54,0.43,1.22,1.38,1.31,6.07,1.41,2.24,1.12,1.21,0.56,1.7
b_0,0.85,0.83,0.73,0.81,0.32,0.47,1.14,1.37,1.44,1.49,4.21,1.5,1.97,3.16,1.41,1.63
f_0,0.63,0.3,0.84,0.71,0.77,0.71,1.68,1.44,1.42,1.15,1.54,4.76,1.86,1.6,1.66,3.15
h_0,0.66,1.09,0.73,0.69,0.56,0.65,0.55,1.16,1.57,1.6,1.08,1.49,0.63,1.61,1.99,1.2
a_0,0.7,0.61,0.7,0.74,0.73,0.26,1.47,1.4,1.57,1.71,1.85,1.55,1.84,6.6,1.88,1.85
g_0,0.57,0.5,1.38,0.7,0.66,0.56,1.13,1.24,1.43,0.59,1.48,2.22,1.37,1.45,0.43,1.42
e_0,0.23,0.74,0.91,0.78,0.68,0.98,1.24,0.83,1.35,1.48,1.54,1.61,1.83,1.9,1.78,6.4
