,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,13036.91,10144.5,7062.14,7734.08,10065.17,57657.7,8807388.02,14845653.15,20675603.15,26498313.08,43872948.75,69046735.94,173521963.26,252174412.07,194389447.93,511966597.99
e_1,6130.16,14760.35,5836.3,9371.24,11876.16,57069.69,10327749.99,15286239.99,21074743.7,45054840.31,46549598.07,95285324.77,174928618.88,258955583.02,237121509.76,490948430.9
d_1,6679.78,6002.8,16878.68,6573.0,10666.08,63249.08,9800615.32,17569286.56,40863750.0,18755529.26,56514961.9,114567778.49,199281371.29,277497528.1,319828586.37,565884153.92
c_1,5346.34,6301.74,6979.27,18620.0,20523.53,56295.83,7891459.14,12880830.21,14689714.32,23509394.93,28480231.57,82704561.85,165098394.9,233598380.27,259782482.08,486551962.53
b_1,6250.01,5346.01,7254.89,8187.81,28789.91,101238.84,8348846.71,16315438.58,23792106.85,23463100.73,31416851.44,89981850.99,143734358.33,292329053.55,297873448.8,564741160.88
a_1,6346.51,6494.26,8258.59,8372.62,9965.12,208751.2,10538731.08,18066108.16,27594200.31,24042057.84,44762002.04,95592202.21,139796460.2,305553785.89,337980643.15,599471872.85
h_1,7900.33,6827.08,9674.98,7885.65,10660.33,51388.52,17688027.41,23256664.5,26022994.96,25311133.12,49245099.31,98056999.25,193439287.95,209494652.24,300944333.41,749635128.02
g_1,6319.23,5767.02,11285.94,8150.15,11367.61,57352.37,8792510.67,38217549.75,23541696.87,20256691.61,44017692.94,145637837.2,195742136.62,276517584.48,387506107.81,482514865.18
c_0,6728.62,6675.45,9781.55,7325.07,9000.45,61652.5,11387194.23,20354512.0,40223307.17,27592898.84,83975053.62,117296198.78,262761666.52,285588531.7,361027675.01,641737703.1
d_0,6115.24,6798.52,6144.51,13987.34,14093.16,54260.09,10322162.39,17494805.67,16743408.4,39832494.63,38527952.12,92867924.94,186967840.11,253210486.1,282417459.17,534429325.81
b_0,7277.48,7584.13,9224.57,8452.0,8149.11,43334.22,10379628.25,21325591.45,26319745.08,26223038.61,78422529.61,113298719.59,397777637.44,333502059.34,330850589.71,539182376.1
f_0,5825.1,5881.5,9024.05,9263.25,12129.39,61608.03,10476897.39,20883227.7,28731258.52,25045562.86,50147405.57,167803636.05,205480963.15,306265565.03,627082500.45,553836534.26
a_0,7364.22,6313.14,8956.06,8364.35,12678.9,42358.9,12639365.4,19942041.71,25639669.6,25617111.02,51332443.03,112106101.49,353656903.95,322106409.52,357589316.2,583500713.3
h_0,8479.06,6720.27,9068.46,7871.72,10171.5,68396.93,7382830.34,25294251.88,24270748.04,23611833.83,46856344.5,93700622.14,174512392.45,209422272.94,304833601.93,701780621.86
e_0,7420.37,4065.33,9725.65,9230.73,11307.72,73273.98,11319680.28,19749004.81,25253460.11,25836047.6,49383428.25,96360862.51,199114473.05,272700487.81,672797962.58,668959858.8
g_0,5647.26,5916.91,12122.21,8487.11,11569.02,62063.59,10341951.86,17414111.31,27297646.76,19869070.58,49269453.96,145704666.03,210340511.59,256567057.61,367761552.8,505544921.37
