,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.44,1.58,1.56,1.32,1.71,1.63,0.35,0.38,0.36,0.53,0.31,0.58,0.17,0.32,0.29,0.3
e_1,0.95,0.44,2.15,1.64,1.87,2.04,0.52,0.37,0.34,0.55,0.36,0.45,0.28,0.69,0.36,0.28
c_1,1.94,1.34,0.41,2.36,1.83,1.87,0.61,0.21,0.69,0.42,0.34,0.32,0.26,0.34,0.33,0.26
d_1,1.87,1.98,2.11,0.4,1.86,1.65,0.43,0.85,0.33,0.34,0.41,0.32,0.27,0.26,0.32,0.14
b_1,2.24,2.65,0.95,2.1,0.39,1.82,0.57,0.42,0.49,0.62,1.1,0.43,0.35,0.33,0.43,0.31
a_1,2.65,2.45,2.34,3.1,1.04,0.33,0.75,0.61,0.53,0.64,0.89,0.46,0.33,0.55,2.69,0.37
h_1,2.72,3.24,3.07,2.8,2.79,2.12,0.32,0.66,0.52,0.91,0.52,0.59,0.66,0.53,0.73,0.45
d_0,3.09,1.72,3.19,4.82,3.56,2.66,0.97,0.38,0.65,1.04,0.68,0.65,0.43,0.61,0.49,0.59
c_0,3.61,3.29,7.45,1.65,3.62,2.88,0.92,0.85,0.35,1.07,0.67,0.72,0.41,0.64,0.62,0.43
g_1,3.6,3.27,3.65,3.2,3.62,2.53,0.72,0.72,0.68,0.29,0.66,0.59,0.36,0.71,0.76,0.55
b_0,3.62,2.76,5.87,2.78,8.95,3.13,0.92,0.77,0.34,0.93,0.32,0.63,0.44,0.72,0.61,0.46
f_0,6.53,3.93,3.48,3.45,3.51,2.66,0.92,0.75,0.7,0.63,0.75,0.32,0.55,0.58,0.72,0.28
h_0,4.23,3.51,4.13,3.25,4.07,3.8,1.86,0.84,0.74,1.12,0.72,0.84,0.8,0.82,0.63,0.62
e_0,7.73,5.71,3.54,4.56,3.91,3.73,1.15,0.73,0.9,1.0,0.82,0.43,0.73,0.32,0.76,0.54
a_0,4.37,3.9,6.21,4.15,6.52,6.54,1.23,0.96,0.68,1.32,0.39,0.79,0.64,0.84,0.3,0.5
g_0,4.57,5.11,5.48,4.19,4.21,4.72,0.91,0.97,0.82,2.52,0.93,0.85,0.49,0.69,0.87,0.89
