,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.45,0.82,0.66,0.76,0.64,0.38,0.37,0.3,0.41,0.3,0.37,0.28,0.3,0.4,0.29
f_1,0.76,0.41,0.67,0.63,0.59,0.55,0.28,0.32,0.29,0.42,0.32,0.35,0.21,0.3,0.28,0.28
c_1,0.53,0.69,0.39,0.85,0.78,0.61,0.39,0.2,0.34,0.37,0.26,0.28,0.26,0.3,0.31,0.26
d_1,0.78,0.73,0.63,0.39,0.68,0.63,0.33,0.38,0.29,0.26,0.32,0.32,0.25,0.31,0.27,0.18
b_1,0.68,0.76,0.43,0.73,0.35,0.81,0.39,0.31,0.41,0.36,0.39,0.28,0.25,0.3,0.3,0.27
a_1,0.71,0.78,0.72,0.71,0.4,0.31,0.4,0.34,0.31,0.38,0.38,0.29,0.29,0.37,0.27,0.28
h_1,0.6,0.73,0.61,0.63,0.6,0.57,0.23,0.29,0.29,0.36,0.26,0.25,0.26,0.25,0.26,0.26
d_0,0.43,0.64,0.75,0.78,0.72,0.64,0.39,0.24,0.26,0.37,0.3,0.29,0.25,0.27,0.29,0.29
c_0,0.69,0.73,0.79,0.45,0.6,0.55,0.33,0.35,0.23,0.34,0.33,0.27,0.25,0.28,0.28,0.23
g_1,0.63,0.67,0.66,0.68,0.61,0.59,0.26,0.27,0.28,0.21,0.28,0.3,0.2,0.25,0.29,0.28
b_0,0.61,0.6,0.86,0.53,0.86,0.56,0.35,0.28,0.19,0.34,0.22,0.29,0.25,0.3,0.24,0.26
f_0,0.53,0.86,0.67,0.6,0.65,0.67,0.36,0.28,0.27,0.24,0.27,0.21,0.25,0.22,0.28,0.17
h_0,0.59,0.68,0.59,0.63,0.63,0.56,0.44,0.27,0.29,0.36,0.27,0.28,0.27,0.26,0.27,0.23
a_0,0.61,0.69,0.64,0.56,0.76,0.82,0.36,0.28,0.26,0.32,0.18,0.29,0.23,0.19,0.23,0.23
e_0,0.68,0.75,0.63,0.59,0.56,0.63,0.32,0.26,0.28,0.31,0.31,0.18,0.23,0.32,0.19,0.21
g_0,0.62,0.66,0.66,0.62,0.64,0.59,0.29,0.28,0.27,0.34,0.25,0.31,0.2,0.26,0.3,0.25
