,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.9,0.24,0.34,0.39,0.28,0.16,0.29,0.53,0.28,0.23,0.24,0.26,0.28,0.29,0.1,0.17
d_1,0.27,0.92,0.32,0.24,0.24,0.17,0.27,0.19,0.53,0.23,0.35,0.27,0.31,0.25,0.23,0.2
f_1,0.56,0.26,0.9,0.35,0.22,0.18,0.23,0.28,0.25,0.19,0.22,0.13,0.31,0.2,0.12,0.13
c_1,0.31,0.27,0.32,0.9,0.52,0.16,0.29,0.23,0.18,0.21,0.17,0.24,0.26,0.21,0.15,0.14
b_1,0.32,0.33,0.33,0.28,0.89,0.37,0.28,0.27,0.25,0.23,0.15,0.23,0.28,0.24,0.16,0.13
a_1,0.34,0.33,0.35,0.32,0.2,0.88,0.32,0.32,0.29,0.24,0.28,0.3,0.28,0.25,0.18,0.12
h_1,0.34,0.37,0.46,0.33,0.27,0.2,0.63,0.29,0.28,0.32,0.28,0.26,0.22,0.34,0.18,0.19
d_0,0.34,0.19,0.39,0.62,0.35,0.19,0.33,0.51,0.19,0.24,0.27,0.24,0.29,0.22,0.15,0.2
c_0,0.36,0.43,0.37,0.29,0.24,0.21,0.3,0.33,0.52,0.23,0.53,0.31,0.32,0.3,0.21,0.25
g_1,0.24,0.52,0.28,0.35,0.31,0.18,0.31,0.27,0.32,0.59,0.29,0.41,0.29,0.22,0.23,0.18
b_0,0.34,0.38,0.41,0.36,0.22,0.16,0.36,0.3,0.33,0.23,0.53,0.28,0.35,0.31,0.18,0.39
f_0,0.3,0.44,0.24,0.35,0.3,0.22,0.34,0.34,0.34,0.26,0.34,0.48,0.35,0.33,0.38,0.2
h_0,0.37,0.37,0.47,0.36,0.25,0.18,0.25,0.34,0.29,0.32,0.27,0.28,0.22,0.35,0.17,0.17
g_0,0.31,0.56,0.3,0.35,0.28,0.19,0.32,0.27,0.33,0.24,0.25,0.42,0.29,0.19,0.18,0.18
e_0,0.19,0.43,0.39,0.35,0.33,0.23,0.37,0.28,0.35,0.25,0.33,0.31,0.39,0.31,0.45,0.23
a_0,0.31,0.38,0.34,0.42,0.28,0.17,0.3,0.33,0.33,0.28,0.31,0.27,0.37,0.27,0.19,0.4
