,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,0.87,1.17,1.13,0.95,1.03,1.38,0.98,1.17,1.06,1.22,1.2,1.13,1.27,1.05
f_1,1.24,1.0,0.93,1.07,0.87,0.84,0.9,0.95,0.93,1.05,1.01,0.95,0.81,0.86,0.9,1.21
d_1,1.15,1.06,1.0,0.86,1.01,0.94,0.96,0.83,1.23,0.77,0.96,0.94,1.04,1.02,0.89,0.81
c_1,0.86,0.93,1.17,1.0,1.36,0.94,0.98,0.73,0.8,0.95,0.92,0.89,0.97,0.84,1.05,0.99
b_1,0.88,1.15,0.99,0.74,1.0,1.52,1.04,1.02,1.14,1.27,1.19,1.07,1.04,1.06,0.97,0.92
a_1,1.04,1.19,1.05,1.07,0.66,1.0,1.22,1.11,0.86,0.85,1.0,0.92,1.04,1.15,1.07,1.21
h_1,0.96,1.13,1.02,0.99,0.94,0.85,1.0,0.96,0.94,1.15,1.02,0.99,0.94,0.94,0.78,1.15
d_0,0.74,0.99,1.13,1.31,1.06,0.89,1.02,1.0,0.88,1.06,0.95,1.01,1.07,1.01,1.01,1.17
c_0,1.06,1.13,0.79,1.17,0.89,1.14,1.09,1.06,1.0,1.02,1.25,0.95,0.97,1.11,1.01,1.0
g_1,0.83,0.93,1.31,1.05,0.81,1.19,0.88,0.92,0.91,1.0,0.96,1.16,0.81,0.82,1.05,0.94
b_0,0.94,1.03,0.98,1.1,0.9,0.95,1.04,1.02,0.78,1.07,1.0,1.01,1.07,1.48,0.97,1.05
f_0,0.86,1.11,1.05,1.12,0.92,1.04,1.02,0.97,1.07,0.85,0.94,1.0,1.13,0.91,1.37,0.81
h_0,0.9,1.22,0.97,1.05,0.96,0.9,1.06,0.96,0.99,1.24,0.91,0.89,1.0,0.92,0.99,1.07
a_0,0.93,1.12,1.03,1.09,1.03,0.82,1.02,0.93,0.91,1.27,0.69,1.13,1.1,1.0,0.89,0.95
e_0,0.82,1.23,1.06,0.91,0.96,0.93,1.28,1.01,1.03,0.94,1.11,0.73,1.02,1.06,1.0,0.97
g_0,0.96,0.89,1.17,0.96,1.04,0.89,0.88,0.86,1.01,1.09,0.97,1.19,0.89,1.09,1.07,1.0
