,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.42,0.94,0.88,0.81,0.87,0.8,0.39,0.39,0.37,0.53,0.41,0.54,0.34,0.26,0.33,0.38
c_1,0.83,0.4,0.7,1.03,1.28,0.85,0.41,0.25,0.5,0.46,0.32,0.33,0.41,0.31,0.38,0.36
e_1,0.64,1.03,0.4,0.91,0.78,0.89,0.51,0.5,0.4,0.51,0.42,0.48,0.35,0.4,0.62,0.38
b_1,1.04,0.53,0.88,0.38,0.91,1.07,0.56,0.4,0.5,0.56,0.57,0.4,0.41,0.34,0.41,0.34
d_1,0.9,0.81,1.13,0.86,0.38,0.73,0.44,0.67,0.45,0.31,0.4,0.43,0.47,0.39,0.37,0.23
a_1,0.96,0.98,0.99,0.56,0.84,0.31,0.55,0.44,0.38,0.53,0.49,0.39,0.71,0.34,0.44,0.37
h_1,0.88,0.88,0.65,0.71,0.83,0.69,0.24,0.36,0.37,0.55,0.38,0.34,0.35,0.51,0.32,0.29
d_0,0.86,0.89,0.5,0.89,1.06,0.89,0.44,0.26,0.33,0.44,0.28,0.31,0.33,0.26,0.38,0.28
c_0,0.8,1.41,0.77,0.76,0.49,0.84,0.46,0.51,0.25,0.4,0.41,0.33,0.41,0.31,0.36,0.31
g_1,0.7,0.82,0.84,0.7,0.86,0.77,0.32,0.38,0.37,0.22,0.38,0.4,0.39,0.25,0.34,0.45
b_0,0.66,1.25,0.75,1.02,0.66,0.73,0.4,0.47,0.22,0.43,0.23,0.31,0.42,0.28,0.34,0.34
f_0,1.18,0.97,0.81,0.72,0.6,0.72,0.45,0.37,0.31,0.29,0.37,0.22,0.33,0.34,0.37,0.21
a_0,0.84,0.95,0.77,0.95,0.68,0.95,0.43,0.38,0.28,0.44,0.19,0.35,0.2,0.33,0.32,0.28
h_0,0.78,0.82,0.73,0.85,0.7,0.82,0.5,0.34,0.33,0.41,0.33,0.32,0.29,0.38,0.35,0.28
e_0,0.9,0.77,1.42,0.67,0.71,0.72,0.52,0.33,0.32,0.39,0.31,0.21,0.32,0.28,0.2,0.24
g_0,0.71,0.76,0.71,0.79,0.82,0.76,0.37,0.38,0.34,0.49,0.28,0.4,0.37,0.28,0.32,0.38
