,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.04,1.69,1.1,1.71,1.46,1.18,0.63,0.58,0.48,0.69,0.52,0.54,0.34,0.37,0.59,0.43
d_1,1.71,1.04,1.77,1.58,1.41,1.24,0.55,0.65,0.5,0.4,0.48,0.38,0.35,0.25,0.38,0.36
f_1,1.73,1.52,1.05,1.6,1.39,1.24,0.48,0.48,0.46,0.6,0.43,0.5,0.3,0.37,0.36,0.39
c_1,1.36,1.88,1.49,1.05,1.73,1.35,0.61,0.32,0.54,0.55,0.41,0.45,0.36,0.33,0.4,0.33
b_1,1.77,2.04,1.97,1.18,1.06,2.04,0.73,0.53,0.66,0.62,0.6,0.51,0.46,0.42,0.45,0.44
a_1,2.67,2.61,2.61,2.45,1.43,1.06,0.95,0.8,0.7,0.88,0.9,0.71,0.59,0.56,0.62,0.63
h_1,4.18,4.63,5.06,4.18,3.77,3.1,1.23,1.3,1.27,1.64,1.23,1.13,1.02,0.94,1.03,1.03
d_0,3.46,5.58,4.8,6.63,5.02,3.82,2.11,1.34,1.44,2.02,1.51,1.44,1.14,1.09,1.39,1.24
c_0,5.57,3.73,5.84,6.3,5.15,4.18,2.01,2.22,1.31,1.65,1.67,1.47,1.25,1.01,1.29,1.28
g_1,4.53,5.81,5.53,5.15,4.97,4.04,1.63,1.66,1.61,1.27,1.71,1.51,0.99,1.14,1.32,1.2
b_0,5.5,4.82,6.63,6.98,6.11,3.99,2.15,1.71,1.17,1.78,1.33,1.4,1.23,1.22,1.25,1.4
f_0,5.43,5.94,7.46,6.49,5.75,4.3,2.36,1.97,1.79,1.62,1.91,1.36,1.35,1.03,1.55,1.39
h_0,7.34,6.8,7.43,7.51,6.36,5.51,3.05,2.35,1.98,2.72,2.03,1.98,1.82,1.63,1.54,1.55
g_0,7.43,8.95,8.33,8.6,7.33,6.16,2.61,2.76,2.36,2.88,2.21,2.35,1.53,2.03,2.01,1.81
e_0,9.46,7.05,10.09,8.41,7.5,5.89,3.17,2.82,2.4,2.39,2.63,1.6,1.92,1.67,1.41,1.83
a_0,8.56,7.48,9.49,9.94,8.69,8.8,3.57,2.66,2.18,3.15,1.76,2.34,2.08,2.01,1.98,1.52
