,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,0.83,1.44,1.44,1.2,1.43,0.83,0.7,0.65,0.65,0.61,0.69,0.67,0.52,1.04,0.54
f_1,1.51,0.41,1.18,1.51,1.16,1.33,0.47,0.91,0.6,0.53,0.59,1.34,0.51,0.35,0.5,0.44
d_1,1.33,1.5,0.4,1.14,1.26,1.32,0.69,0.46,1.18,0.65,0.65,0.51,0.6,0.46,0.64,0.36
c_1,1.06,1.2,1.57,0.39,1.7,1.27,0.76,0.67,0.38,1.02,0.55,0.54,0.61,0.4,0.52,0.48
b_1,1.45,1.42,1.41,0.73,0.37,1.39,0.77,0.83,0.58,0.59,1.21,0.76,0.46,0.62,0.62,0.65
a_1,1.24,1.32,1.47,1.58,0.83,0.3,0.86,0.87,0.57,0.61,0.7,0.47,2.31,0.52,0.49,0.76
h_1,0.85,1.21,0.88,0.94,1.0,0.85,0.26,0.5,0.46,0.46,0.45,0.51,0.4,0.75,0.4,0.44
g_1,0.98,1.07,1.07,0.98,0.78,0.83,0.42,0.24,0.49,0.42,0.43,0.55,0.48,0.41,0.41,0.62
d_0,0.62,1.04,1.39,1.22,1.03,1.1,0.53,0.53,0.28,0.44,0.42,0.34,0.46,0.45,0.39,0.4
c_0,0.87,1.11,0.56,1.9,1.55,0.94,0.53,0.59,0.52,0.27,0.47,0.39,0.38,0.41,0.43,0.34
b_0,0.92,0.98,0.82,1.28,1.89,0.77,0.54,0.55,0.42,0.25,0.25,0.43,0.51,0.4,0.44,0.33
f_0,0.96,1.86,0.87,1.1,0.91,0.97,0.48,0.32,0.46,0.38,0.35,0.23,0.36,0.45,0.45,0.25
a_0,0.89,1.09,0.94,0.87,1.32,,0.55,0.48,0.41,0.41,0.26,0.4,0.23,0.38,0.5,0.38
h_0,0.88,1.17,0.96,1.2,0.81,0.79,0.9,0.47,0.39,0.36,0.4,0.37,0.39,0.7,0.43,0.36
e_0,1.73,1.32,0.78,0.94,0.92,0.93,0.47,0.57,0.46,0.37,0.43,0.23,0.35,0.32,0.21,0.32
g_0,1.12,1.0,0.88,1.01,0.85,0.77,0.43,0.78,0.43,0.43,0.49,0.51,0.36,0.31,0.43,0.56
