,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.92,0.37,0.63,0.37,0.31,0.24,0.36,0.26,0.33,0.37,0.29,0.21,0.36,0.21,0.26,0.15
d_1,0.45,0.93,0.39,0.28,0.32,0.26,0.39,0.33,0.6,0.25,0.39,0.33,0.36,0.27,0.37,0.22
e_1,0.45,0.35,0.92,0.44,0.32,0.25,0.38,0.33,0.34,0.55,0.3,0.32,0.4,0.2,0.29,0.15
c_1,0.42,0.4,0.34,0.92,0.61,0.26,0.33,0.27,0.22,0.31,0.19,0.26,0.31,0.2,0.31,0.22
b_1,0.42,0.41,0.38,0.35,0.9,0.49,0.37,0.28,0.3,0.31,0.21,0.29,0.33,0.15,0.28,0.24
a_1,0.49,0.43,0.42,0.34,0.34,0.89,0.41,0.33,0.33,0.32,0.32,0.29,0.38,0.16,0.31,0.19
h_1,0.58,0.45,0.45,0.38,0.34,0.26,0.67,0.36,0.38,0.31,0.3,0.3,0.29,0.24,0.42,0.22
g_1,0.45,0.66,0.36,0.35,0.35,0.25,0.41,0.63,0.42,0.3,0.35,0.43,0.4,0.23,0.26,0.28
c_0,0.5,0.5,0.42,0.35,0.27,0.27,0.4,0.35,0.58,0.36,0.62,0.35,0.43,0.34,0.35,0.26
d_0,0.45,0.33,0.4,0.69,0.41,0.27,0.36,0.34,0.25,0.52,0.29,0.31,0.39,0.24,0.32,0.25
b_0,0.45,0.51,0.44,0.44,0.24,0.2,0.45,0.33,0.39,0.4,0.54,0.35,0.43,0.5,0.38,0.26
f_0,0.44,0.49,0.39,0.43,0.33,0.3,0.43,0.33,0.38,0.38,0.35,0.54,0.4,0.27,0.38,0.49
h_0,0.54,0.49,0.42,0.41,0.35,0.28,0.32,0.38,0.4,0.37,0.36,0.32,0.31,0.26,0.42,0.23
a_0,0.47,0.46,0.43,0.45,0.32,0.23,0.43,0.35,0.35,0.39,0.33,0.36,0.44,0.47,0.37,0.27
g_0,0.47,0.6,0.39,0.36,0.39,0.27,0.38,0.3,0.44,0.36,0.33,0.45,0.35,0.27,0.3,0.29
e_0,0.48,0.48,0.37,0.42,0.4,0.28,0.43,0.35,0.37,0.36,0.37,0.31,0.4,0.24,0.37,0.46
