,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10493.38,2736.47,4307.42,2690.78,8403.33,22360.14,3670653.89,15859629.77,13360479.6,9528092.59,18572603.51,31316131.13,120825592.69,89639663.92,65240239.39,241492374.86
f_1,4351.57,11932.48,3027.9,3686.44,6506.88,22751.84,3845179.2,7983733.72,10378358.75,7397393.44,13945417.38,9726844.81,97798216.14,88596061.22,119295948.66,194082639.98
c_1,1989.14,2591.07,16271.62,3730.26,16211.68,20887.41,3917327.82,8265445.0,3764015.8,8837128.22,10084738.11,27240064.89,119766907.99,91846562.7,132464808.18,237810620.5
d_1,2058.87,2913.78,2410.92,18317.3,7957.8,20878.88,4382274.04,4518246.63,23203825.19,11719909.48,21674613.47,33499205.22,124209175.98,119008153.61,150869582.26,293906346.97
b_1,1852.18,2838.57,3285.72,3302.93,51786.6,54921.22,3800653.22,7412595.03,9669121.31,8669416.41,3414371.47,24797915.92,104120967.85,64756602.58,152390662.55,251365437.45
a_1,2075.24,3166.67,3946.14,3927.47,6999.65,196183.33,4133284.96,9208723.82,13516251.8,9673147.74,16015571.87,29527132.62,111755812.04,40064465.45,132853398.12,232478001.02
h_1,2643.4,4107.59,3808.62,4515.45,9004.75,29312.4,14347220.45,9328633.55,14174449.29,16294135.75,15296929.14,35064174.88,71267832.74,121151785.38,198431369.98,393847354.29
d_0,2754.06,2956.18,8485.88,2186.01,9233.8,28507.84,4996502.17,20311605.17,11219827.17,10468854.75,21409341.22,37781712.07,154971857.53,120504349.92,172971239.89,297017087.97
c_0,3060.17,3142.76,2694.63,5990.19,6705.89,33372.2,4568979.63,12365135.08,30705928.8,12709488.36,38073837.2,37995948.09,142107373.22,129219994.39,172119102.17,361578025.16
g_1,2296.18,2333.86,3947.96,7071.61,10046.62,26679.97,5281939.03,9626022.88,14432593.24,44234080.19,17553853.11,65243455.17,114211270.42,136736845.16,201112874.98,172308217.5
b_0,3281.63,3196.87,4556.23,5125.3,5256.18,24566.78,5398266.97,12856464.95,14364987.81,12028783.43,41983103.75,36409592.64,160137815.71,232305607.9,151981547.17,360592031.32
f_0,2409.66,1446.84,5019.64,4345.15,12234.04,36820.76,5933355.3,12007761.23,16146092.06,13998815.4,19276382.32,90856692.83,134905736.45,136071107.52,331976174.53,344711292.26
h_0,2441.01,4425.66,4428.44,4948.56,11874.11,25472.58,3250610.21,12669695.05,15160321.01,15171879.55,19518006.98,31249612.48,90671371.13,116724985.25,170445087.91,411914859.15
a_0,3301.06,3022.26,4420.25,4673.85,8072.39,16308.42,5765432.59,12301067.02,16137948.31,14935039.4,19759453.82,48755332.36,166428899.96,351467551.85,175617736.77,337537896.09
e_0,1694.96,3928.3,4031.04,5659.48,9770.95,33565.16,5977316.49,11842664.58,15040437.94,15126950.19,20647852.17,40504192.55,142329763.47,170139318.46,513187182.2,290323745.14
g_0,2480.11,2697.93,4021.89,8434.42,9710.28,23630.07,5128855.39,8614748.76,14252533.78,7114556.59,17847546.92,54610183.65,149565317.73,122780141.11,216291964.84,233588145.56
