,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.34,1.01,0.94,0.8,0.81,0.66,0.52,0.61,0.71,0.68,,0.47,0.45,0.51,0.66
e_1,0.74,1.0,1.04,1.03,1.02,0.85,0.67,0.77,0.52,1.01,0.66,0.65,0.54,0.54,,0.41
d_1,0.99,0.96,1.0,0.8,1.02,0.76,0.72,0.63,0.88,,0.57,0.71,0.62,0.68,0.67,0.39
c_1,1.06,0.98,1.25,1.0,1.18,0.63,0.86,0.63,,0.49,0.75,0.66,0.57,0.54,0.6,0.59
b_1,1.26,0.98,0.98,0.85,1.0,1.41,0.82,0.74,0.77,0.68,,0.57,0.63,0.55,0.56,0.49
a_1,1.23,1.17,1.32,1.6,0.71,1.0,0.73,0.72,0.9,0.73,0.68,0.68,,,,
h_1,1.52,1.5,1.39,1.16,1.21,1.37,1.0,1.03,0.97,1.16,0.74,0.72,,0.74,0.81,1.04
g_1,1.91,1.29,1.58,1.58,1.34,1.39,0.97,1.0,0.78,0.81,0.97,1.31,0.95,0.89,0.67,
c_0,1.64,1.93,1.13,,1.3,1.12,1.03,1.27,1.0,1.04,1.34,0.82,0.81,0.79,0.67,0.9
d_0,1.41,0.99,,2.02,1.47,1.37,0.86,1.23,0.96,1.0,1.15,0.91,1.04,0.89,0.8,1.06
b_0,1.47,1.52,1.74,1.34,,1.47,1.36,1.03,0.74,0.87,1.0,0.81,1.03,1.49,0.84,1.08
f_0,,1.53,1.41,1.51,1.75,1.47,1.38,0.76,1.21,1.1,1.24,1.0,1.04,,0.8,0.79
h_0,2.15,1.86,1.62,1.74,1.58,,,1.05,1.24,0.96,0.97,0.96,,0.89,1.36,1.03
a_0,2.2,1.84,1.48,1.85,1.81,,1.35,1.13,1.26,1.13,0.67,,1.13,1.0,0.94,
e_0,1.98,,1.5,1.66,1.78,,1.24,1.49,1.5,1.26,1.19,1.25,0.74,1.06,1.0,
g_0,1.51,2.43,2.54,1.69,2.04,,0.97,,1.11,0.94,0.93,1.26,0.97,,,
