,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.09,0.82,0.91,0.87,1.04,0.72,0.54,,0.88,0.57,0.58,0.64,0.68,0.47,0.52
f_1,0.91,1.0,1.33,1.19,0.88,0.79,0.61,0.66,0.63,0.7,0.63,,0.51,0.55,0.63,0.45
e_1,1.21,0.75,1.0,0.93,0.87,0.89,0.67,0.68,0.88,0.79,0.71,0.68,0.53,0.48,0.45,
c_1,1.09,0.84,1.08,1.0,1.29,0.85,0.76,0.73,0.57,,0.52,0.77,0.7,0.51,0.62,0.77
b_1,1.15,1.14,1.15,0.77,1.0,,0.68,0.63,0.67,0.63,,0.66,0.57,,0.61,0.63
a_1,0.96,1.26,1.12,1.18,,1.0,1.06,,0.87,0.73,0.75,0.74,0.67,,0.67,
h_1,1.39,1.65,1.49,1.32,1.46,0.95,1.0,1.29,0.85,0.9,0.76,0.78,,0.86,1.06,0.65
g_1,1.87,1.52,1.47,1.36,1.59,,0.77,1.0,1.08,1.12,0.9,1.0,0.84,,,
d_0,,1.6,1.14,1.77,1.49,1.15,1.18,0.93,1.0,0.85,1.0,0.93,0.95,0.75,0.97,1.02
c_0,1.14,1.43,1.27,,1.59,1.37,1.11,0.89,1.18,1.0,1.34,0.93,0.86,0.94,0.79,1.08
b_0,1.75,1.6,1.41,1.92,,1.33,1.32,1.11,1.0,0.75,1.0,0.72,1.07,1.02,0.95,0.65
f_0,1.74,,1.46,1.3,1.52,1.35,1.29,1.0,1.07,1.08,1.4,1.0,0.93,0.97,0.6,1.27
h_0,1.56,1.96,1.9,1.44,1.77,1.5,,1.2,1.05,1.16,0.93,1.07,,0.88,1.06,0.75
a_0,1.48,1.82,2.07,1.98,,,1.17,,1.33,1.06,0.98,1.03,1.13,1.0,1.16,
g_0,2.15,1.6,2.2,1.6,1.64,1.48,0.94,,1.03,1.27,1.05,1.65,0.95,0.86,,
e_0,1.93,2.23,,1.3,1.58,,1.55,,0.98,0.93,1.55,0.79,1.34,,,1.0
