,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,120.07,54.64,52.14,77.97,69.71,259.28,6324.16,16809.62,16868.33,34722.38,26691.15,30644.76,82624.33,121852.56,85712.54,155595.55
f_1,80.01,120.48,53.21,67.33,65.7,299.61,4941.84,13179.8,17957.22,20398.1,20912.4,20930.95,83173.36,91660.77,99556.74,133656.62
d_1,50.11,59.98,129.07,51.48,82.3,271.51,5828.22,13341.18,28631.38,12259.27,26989.67,30195.09,67578.95,100837.74,111173.41,140453.42
c_1,45.78,43.38,61.65,137.29,132.01,256.92,4784.44,10809.2,7547.22,16550.28,16875.42,31325.86,52450.23,91068.49,122554.84,130339.37
b_1,47.8,57.14,52.56,42.66,165.16,422.11,4688.63,12178.89,15937.5,17560.63,17826.69,26039.88,61561.89,103450.24,119026.98,129979.14
a_1,32.55,29.12,38.0,41.13,36.49,477.2,3569.98,10123.44,9890.67,12279.59,15085.82,19412.79,27781.95,66937.15,62813.73,90396.52
h_1,13.56,20.03,18.22,21.69,23.6,75.5,2647.55,5056.19,4921.52,5634.26,7597.34,7975.02,21441.27,21495.28,31603.68,57842.1
g_1,9.44,10.24,17.29,17.0,16.23,46.31,1179.82,5789.41,3646.98,4137.93,5220.71,9766.95,15955.56,20142.27,27084.37,22567.48
c_0,11.82,12.73,11.75,11.66,15.01,52.36,1180.27,3512.98,5499.9,4353.36,7953.54,7150.38,20350.31,25271.6,24154.96,34108.02
d_0,9.68,11.82,8.13,20.75,15.41,57.59,1180.08,2771.3,2784.95,6089.8,4557.15,5978.95,11358.56,19055.09,20198.45,27022.19
b_0,8.9,13.04,11.16,14.78,8.59,39.5,995.27,2798.41,3536.37,3872.76,7118.26,6190.33,28146.48,26299.49,22617.73,29094.46
f_0,8.62,7.46,11.65,12.16,15.78,49.84,1105.05,2250.19,3137.02,3418.52,4455.69,8602.29,11959.83,21033.72,38916.4,23833.55
a_0,7.41,6.99,7.87,10.68,9.12,25.94,722.16,1915.85,2089.75,3322.44,2585.44,4155.78,17149.71,15429.34,14416.44,25259.95
h_0,6.7,9.27,8.0,7.55,9.09,28.13,555.95,2312.79,2249.11,2866.02,2594.12,3054.22,8680.87,9585.95,13845.8,21573.94
e_0,4.53,6.7,7.76,7.19,10.05,34.96,624.16,1713.19,2461.95,2506.05,3016.61,3119.98,8929.22,13801.14,23546.64,17999.16
g_0,4.93,5.68,9.2,7.26,8.77,28.43,531.46,1441.48,2032.72,2129.7,2573.76,4911.52,6372.02,11442.91,17059.66,14206.18
