,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.4,0.59,0.42,0.63,0.61,0.63,0.34,0.34,0.34,0.28,0.31,0.32,0.25,0.26,0.31,0.25
d_1,0.69,0.39,0.66,0.54,0.55,0.54,0.31,0.24,0.31,0.29,0.28,0.25,0.21,0.27,0.23,0.18
f_1,0.68,0.54,0.39,0.58,0.57,0.55,0.25,0.32,0.27,0.26,0.25,0.29,0.18,0.27,0.23,0.23
c_1,0.49,0.7,0.61,0.38,0.7,0.51,0.32,0.31,0.18,0.28,0.24,0.24,0.22,0.24,0.25,0.22
b_1,0.58,0.61,0.65,0.4,0.37,0.69,0.37,0.34,0.27,0.32,0.31,0.29,0.23,0.24,0.28,0.23
a_1,0.56,0.62,0.62,0.7,0.4,0.31,0.32,0.37,0.32,0.27,0.32,0.3,0.28,0.33,0.31,0.23
h_1,0.54,0.56,0.64,0.57,0.5,0.55,0.23,0.35,0.28,0.25,0.26,0.24,0.26,0.23,0.24,0.21
g_1,0.59,0.62,0.57,0.59,0.53,0.48,0.24,0.22,0.24,0.25,0.24,0.26,0.19,0.22,0.26,0.23
d_0,0.4,0.69,0.57,0.73,0.59,0.53,0.32,0.38,0.23,0.25,0.28,0.24,0.23,0.26,0.24,0.22
c_0,0.62,0.42,0.59,0.68,0.53,0.51,0.31,0.29,0.37,0.22,0.31,0.29,0.23,0.27,0.27,0.21
b_0,0.53,0.51,0.57,0.78,0.75,0.48,0.3,0.31,0.28,0.17,0.21,0.27,0.22,0.25,0.25,0.23
f_0,0.56,0.55,0.61,0.7,0.55,0.46,0.32,0.24,0.28,0.23,0.24,0.2,0.22,0.23,0.29,0.15
h_0,0.57,0.6,0.58,0.56,0.55,0.49,0.31,0.31,0.23,0.24,0.25,0.23,0.24,0.23,0.22,0.2
a_0,0.56,0.52,0.57,0.61,0.71,0.51,0.33,0.32,0.27,0.21,0.18,0.25,0.22,0.19,0.25,0.2
e_0,0.6,0.57,0.65,0.62,0.59,0.46,0.3,0.26,0.26,0.23,0.24,0.15,0.21,0.24,0.18,0.17
g_0,0.58,0.61,0.51,0.58,0.57,0.53,0.26,0.34,0.28,0.25,0.25,0.27,0.18,0.23,0.24,0.22
