,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.31,1.51,0.76,0.84,0.61,0.57,1.41,1.34,1.56,1.72,1.71,0.99,2.16,0.88,1.26,1.6
e_1,0.95,2.34,0.75,1.02,0.7,0.54,1.57,1.42,1.44,3.12,1.85,1.87,2.19,1.05,1.45,1.88
d_1,0.91,0.76,2.39,0.62,0.82,0.63,1.49,1.36,3.23,0.95,1.91,1.78,2.06,1.66,1.37,1.84
c_1,0.89,0.78,0.77,2.55,1.41,0.65,1.5,1.42,0.83,1.63,1.24,1.5,1.87,1.15,1.21,1.79
b_1,1.01,0.74,0.87,0.73,2.59,1.09,1.51,1.26,1.68,1.53,1.15,1.75,2.13,1.3,1.18,1.74
a_1,1.02,0.71,0.9,0.83,0.82,3.23,1.85,1.12,1.96,1.45,1.8,1.33,2.05,1.8,1.07,1.89
h_1,1.27,0.89,0.96,0.87,0.9,0.63,3.27,1.83,1.5,1.47,1.62,1.77,1.59,1.41,1.78,2.94
g_1,0.84,0.8,1.35,0.81,0.85,0.64,1.7,3.51,1.85,1.56,1.87,2.84,2.17,1.6,1.54,1.76
c_0,0.99,1.03,0.99,0.73,0.61,0.67,1.77,1.75,2.99,2.02,3.72,2.07,2.57,1.78,2.15,2.3
d_0,0.94,0.95,0.68,1.74,0.85,0.57,1.66,1.42,1.11,2.96,1.72,1.63,2.31,1.66,1.4,2.37
b_0,1.01,0.93,1.0,0.93,0.66,0.56,1.78,1.78,1.85,1.96,3.11,1.95,2.7,1.92,3.47,2.41
f_0,0.63,0.73,1.2,1.01,0.94,0.7,1.64,1.72,2.13,1.89,2.06,3.25,2.67,3.41,1.93,2.44
h_0,1.19,1.05,1.06,1.0,0.65,0.63,1.28,2.21,1.93,1.81,1.87,1.65,1.58,1.35,1.6,2.66
e_0,1.19,0.73,1.05,0.82,0.83,0.79,1.96,1.64,2.0,1.5,2.04,1.46,2.7,3.59,1.86,2.57
a_0,0.98,0.92,1.08,0.89,0.73,0.45,1.76,1.67,2.14,1.7,2.03,2.15,2.81,1.74,3.46,2.75
g_0,0.75,0.86,1.46,0.98,0.75,0.62,1.54,1.44,2.01,1.54,2.1,2.89,2.51,2.04,1.82,1.62
