,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.36,1.17,0.65,0.63,0.53,0.52,0.89,0.82,0.86,0.8,0.78,0.41,0.88,0.79,0.54,0.9
e_1,0.71,2.46,0.53,0.82,0.64,0.55,0.91,0.6,0.85,1.8,0.92,0.96,1.04,1.07,0.6,1.09
d_1,0.69,0.62,2.85,0.52,0.58,0.7,0.97,1.05,1.74,0.4,1.12,1.08,0.91,0.93,0.9,1.02
c_1,0.64,0.55,0.68,2.9,1.18,0.65,0.78,0.84,0.41,0.84,0.7,1.01,0.95,0.86,1.08,0.81
b_1,0.66,0.54,0.6,0.73,3.22,1.19,0.79,0.9,0.86,0.82,0.53,0.89,1.0,0.68,0.9,0.79
a_1,0.73,0.55,0.72,0.64,0.65,4.59,1.11,1.11,0.94,0.96,1.11,0.97,0.95,0.62,1.02,1.01
h_1,1.11,0.78,0.76,0.81,0.59,0.69,2.86,1.62,1.1,1.01,1.21,1.01,0.81,1.26,1.42,1.43
g_1,0.65,0.66,1.4,0.68,0.77,0.83,0.88,3.38,1.44,0.62,1.36,2.0,1.15,1.15,1.52,1.03
c_0,0.96,0.8,0.95,0.57,0.58,0.64,1.27,1.18,2.06,1.14,2.35,1.5,1.31,1.45,1.43,1.36
d_0,0.89,0.77,0.47,1.57,0.77,0.58,1.26,1.03,0.65,2.0,1.25,0.93,1.3,1.13,1.18,1.04
b_0,0.94,0.81,0.98,0.83,0.41,0.64,1.29,1.19,1.08,1.04,2.4,1.21,1.19,2.27,1.42,1.29
f_0,0.45,0.65,0.94,0.74,0.86,0.97,1.12,1.24,1.07,1.3,1.57,3.01,1.45,1.52,3.25,1.24
h_0,1.15,0.8,0.92,0.67,0.87,0.75,0.54,1.28,0.98,0.92,1.08,1.04,0.74,1.21,1.22,1.3
a_0,0.98,0.72,0.96,0.91,0.85,0.38,1.19,0.99,1.15,1.17,1.24,1.08,1.43,3.02,1.04,1.28
e_0,0.87,0.49,1.06,0.8,0.79,0.62,1.14,1.58,1.07,1.29,1.38,1.59,1.27,1.85,3.93,1.22
g_0,0.72,0.7,1.38,0.86,0.8,0.65,1.07,0.78,1.09,1.01,1.21,1.77,1.16,1.17,1.51,0.75
