,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.18,0.82,0.97,0.91,0.6,0.4,0.4,0.46,0.34,0.38,0.27,0.27,0.25,0.24,0.3
e_1,0.86,1.0,0.89,1.07,0.76,0.78,0.56,0.6,0.47,0.46,0.33,0.41,0.35,0.34,0.44,0.33
d_1,1.21,1.11,1.0,0.81,0.82,0.71,0.5,0.49,0.37,0.58,0.41,0.33,0.38,0.35,0.36,0.24
c_1,1.03,0.93,1.24,1.0,1.25,0.69,0.55,0.34,0.44,0.36,0.37,0.38,0.39,0.32,0.32,0.3
b_1,1.1,1.32,1.23,0.8,1.0,1.29,0.62,0.5,0.48,0.47,0.47,0.34,0.34,0.29,0.26,0.31
a_1,1.67,1.28,1.4,1.48,0.77,1.0,0.73,0.6,0.59,0.61,0.64,0.6,0.46,0.6,0.54,0.49
h_1,2.41,1.77,2.0,1.86,1.58,1.29,1.0,0.87,1.21,0.8,0.74,0.7,0.69,0.6,0.68,0.66
d_0,2.38,1.67,2.24,2.99,2.03,1.7,1.16,1.0,0.92,0.9,0.78,0.85,0.75,0.7,0.74,0.76
g_1,2.24,2.16,2.79,2.27,2.01,1.56,0.83,1.05,1.0,0.77,0.88,1.03,0.67,0.81,0.68,0.63
c_0,2.69,2.15,1.71,2.71,2.12,1.63,1.28,1.17,1.34,1.0,1.24,0.88,0.83,0.89,0.75,0.74
b_0,2.75,2.86,2.49,2.76,2.53,1.48,1.4,1.21,1.16,0.81,1.0,1.01,0.79,1.26,0.86,0.69
f_0,3.25,2.56,3.09,2.67,3.02,1.69,1.43,1.17,0.96,1.15,1.02,1.0,0.98,0.85,1.19,0.68
h_0,3.73,2.9,2.56,2.71,2.93,2.24,1.44,1.32,1.52,1.21,1.17,0.96,1.0,1.03,0.94,1.04
a_0,4.1,2.8,2.88,3.1,3.35,1.58,1.67,1.45,1.29,1.16,0.83,1.1,0.98,1.0,1.09,0.86
e_0,4.07,2.64,2.89,3.16,3.44,2.0,1.54,1.38,1.46,1.29,1.14,0.79,0.99,0.93,1.0,1.25
g_0,3.24,2.98,4.37,3.45,3.05,2.16,1.5,1.36,1.68,1.36,1.29,1.5,1.0,1.15,0.91,1.0
