,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.13,4.89,4.49,5.79,5.2,4.3,1.16,1.04,1.21,2.1,1.21,2.48,0.94,0.63,1.02,0.94
e_1,2.74,1.13,6.38,5.82,5.97,7.7,1.49,1.18,1.15,1.92,1.14,1.35,1.16,0.77,3.25,0.88
d_1,7.16,6.85,1.12,6.49,5.13,5.17,1.76,0.95,3.15,0.98,1.05,1.25,1.02,0.82,1.27,0.56
c_1,6.69,5.19,8.01,1.13,6.11,5.34,1.61,2.45,0.61,1.53,1.18,1.08,1.27,0.89,1.19,0.73
b_1,6.45,7.03,6.56,3.3,1.14,7.51,2.53,1.75,1.36,2.19,4.1,1.16,1.32,1.19,1.07,1.23
a_1,11.0,9.03,9.59,11.21,4.49,1.14,2.85,1.95,2.19,2.6,1.82,1.72,3.66,1.12,2.09,1.23
h_1,18.19,16.72,15.85,18.87,22.79,15.18,1.79,3.65,4.2,5.01,3.38,3.29,3.09,5.15,3.07,2.33
c_0,19.94,23.14,9.92,46.19,24.53,22.37,6.04,2.3,6.5,6.33,4.9,4.52,4.55,2.79,3.76,2.68
d_0,23.25,10.72,55.33,22.43,23.34,23.35,5.46,5.33,2.41,6.89,4.94,4.87,4.11,2.81,4.68,3.72
g_1,21.27,20.08,23.36,22.59,22.61,19.68,5.25,3.95,5.05,1.81,4.32,4.38,4.55,2.48,4.09,5.68
b_0,20.53,19.97,17.43,34.78,49.9,22.37,5.57,2.55,5.9,6.96,2.3,5.0,5.08,3.3,4.04,3.25
f_0,54.84,24.26,24.08,21.8,33.26,27.24,7.05,6.2,5.8,4.35,5.17,2.25,6.97,4.02,5.12,2.2
a_0,36.95,32.35,24.45,35.99,47.44,75.89,8.81,5.71,9.62,8.0,3.6,7.89,2.67,5.15,7.25,5.98
h_0,43.88,31.76,32.18,47.62,32.16,32.2,18.0,7.19,8.26,8.81,7.58,7.0,6.35,8.93,5.82,5.58
e_0,66.23,81.26,31.23,37.29,32.16,29.93,10.19,7.41,8.56,9.67,8.36,3.48,8.82,4.62,2.46,4.79
g_0,54.84,43.14,35.84,60.69,37.58,37.28,9.2,7.73,10.8,16.98,7.95,7.57,8.31,5.02,6.98,11.55
