,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.51,0.7,0.6,0.91,0.71,0.54,0.86,0.89,1.37,0.76,0.84,1.02,1.03,0.64,0.82,0.92
d_1,0.79,1.53,0.84,0.58,0.67,0.62,0.86,0.8,0.59,1.32,1.0,0.86,0.95,0.77,0.81,0.73
f_1,1.24,0.72,1.54,0.73,0.55,0.51,0.76,0.72,0.9,0.81,0.81,0.4,0.68,0.52,0.68,0.83
c_1,0.68,0.82,0.75,1.58,1.21,0.59,0.82,0.82,0.75,0.45,0.66,0.81,0.99,0.61,0.63,0.71
b_1,0.69,0.79,0.9,0.58,1.62,1.17,0.9,0.88,0.91,0.96,0.62,0.83,1.03,0.81,0.47,0.88
a_1,0.82,0.88,0.95,0.87,0.55,1.74,0.98,0.9,0.85,0.99,1.02,0.87,1.0,0.85,0.57,0.94
h_1,0.96,1.06,1.23,0.94,0.94,0.75,1.77,1.38,1.04,1.12,1.0,1.04,1.01,1.09,0.97,1.43
g_1,0.91,1.39,0.93,0.94,0.95,0.79,0.97,1.77,1.12,1.14,1.14,1.58,1.07,1.07,0.9,0.91
d_0,0.91,0.87,0.93,1.62,1.0,0.9,1.21,1.13,1.63,0.97,0.84,1.13,1.26,1.07,0.82,1.31
c_0,1.11,1.04,1.17,0.9,0.77,0.8,1.19,1.21,1.18,1.66,1.87,1.19,1.41,1.17,1.3,1.14
b_0,1.04,1.06,1.18,1.09,0.6,0.76,1.28,1.09,1.38,1.12,1.72,1.22,1.46,1.06,1.8,1.24
f_0,0.89,1.25,0.95,1.12,1.0,0.86,1.18,1.06,1.35,1.15,1.1,1.73,1.45,1.89,0.93,1.29
h_0,0.91,1.15,1.57,1.01,0.94,0.88,0.9,1.61,1.27,1.19,1.27,1.17,0.98,1.13,0.9,1.43
e_0,0.72,1.25,1.28,1.16,1.08,0.92,1.21,1.4,1.46,1.22,1.27,1.02,1.54,1.79,1.13,1.36
a_0,1.02,1.15,1.21,1.33,1.15,0.44,1.37,1.19,1.53,1.06,1.18,1.36,1.62,1.12,1.83,1.35
g_0,0.95,1.62,1.01,1.18,0.98,0.83,1.25,1.07,1.26,1.21,1.19,1.64,1.44,1.25,1.01,0.99
