,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,21.99,0.36,0.34,0.35,0.34,0.32,0.74,0.73,0.53,1.83,0.74,0.7,0.99,0.74,0.18,0.91
f_1,0.68,24.35,0.36,0.3,0.29,0.37,0.63,0.73,0.44,0.67,0.81,0.09,0.78,0.71,0.59,0.77
d_1,0.28,0.34,26.12,0.36,0.31,0.41,0.75,1.64,0.8,0.18,0.7,0.79,0.89,0.75,0.92,0.69
c_1,0.36,0.33,0.32,30.7,0.69,0.28,0.64,0.12,0.81,0.67,0.62,0.93,0.81,0.65,0.76,0.97
b_1,0.3,0.35,0.35,0.36,35.2,0.7,0.83,0.64,0.56,0.72,0.12,0.86,0.96,0.68,0.71,0.78
a_1,0.36,0.27,0.32,0.37,0.29,44.9,0.78,0.71,0.8,0.52,0.9,1.05,0.79,0.31,0.97,0.85
h_1,0.47,1.0,0.58,0.64,0.52,0.51,9.58,1.3,2.07,1.37,1.69,1.71,0.64,1.27,1.82,1.89
c_0,0.66,0.66,0.69,0.17,0.55,0.61,1.92,5.53,1.76,1.47,4.13,1.85,1.94,2.3,2.01,1.96
g_1,0.4,0.55,1.0,0.53,0.98,0.76,1.26,1.33,12.65,1.18,1.64,2.12,1.21,1.15,1.25,0.41
d_0,0.56,0.81,0.21,1.64,0.59,0.51,1.04,1.32,1.43,5.16,1.68,1.53,1.92,1.39,1.4,2.19
b_0,0.55,0.75,0.83,0.62,0.39,0.38,1.36,1.83,1.51,1.44,6.14,1.98,1.27,4.31,1.86,1.75
f_0,0.47,0.2,0.71,0.78,0.72,0.86,1.5,1.74,1.72,1.91,1.44,6.95,1.67,1.74,3.67,1.75
h_0,0.65,0.98,0.66,0.69,0.71,0.4,0.55,1.11,1.83,1.13,1.64,1.46,0.38,1.19,1.37,1.84
a_0,0.68,0.76,0.77,0.79,0.67,,1.22,1.65,1.13,1.79,1.55,1.29,2.02,8.81,1.8,1.55
e_0,0.18,0.84,0.6,0.63,0.55,0.78,2.02,1.79,1.98,1.54,2.03,1.85,2.35,1.95,10.02,1.81
g_0,0.5,0.67,1.1,0.66,0.57,0.38,0.97,1.45,0.58,1.48,1.78,2.19,1.61,1.58,1.76,0.78
