,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.22,0.56,0.38,0.58,0.33,0.4,0.85,2.11,0.79,0.98,1.23,1.02,0.97,1.5,1.19,0.48
f_1,0.9,2.23,0.44,0.46,0.38,0.29,0.99,0.87,0.72,1.07,0.77,0.29,0.73,1.12,0.93,0.48
d_1,0.52,0.6,2.37,0.34,0.4,0.36,0.95,0.43,0.73,1.84,1.04,1.01,0.9,1.21,1.27,0.98
c_1,0.46,0.53,0.51,2.44,0.78,0.3,0.82,0.92,0.81,0.3,0.79,0.82,0.69,0.96,0.78,0.81
b_1,0.46,0.46,0.56,0.43,2.77,0.75,0.92,0.79,0.76,0.69,0.3,1.06,0.7,1.21,0.98,1.03
a_1,0.5,0.54,0.53,0.5,0.34,3.11,0.96,1.01,0.73,1.14,0.96,1.04,0.29,1.43,1.75,0.82
h_1,0.6,0.85,0.65,0.54,0.52,0.41,2.91,1.05,1.11,1.13,1.03,1.14,0.94,0.84,1.59,1.06
d_0,0.52,0.66,0.3,1.11,0.56,0.43,1.02,2.44,0.98,0.87,1.11,1.11,1.03,1.42,1.21,0.96
g_1,0.55,0.41,0.99,0.59,0.44,0.4,1.12,0.94,3.35,1.22,1.25,1.86,0.97,1.13,0.9,1.17
c_0,0.77,0.64,0.63,0.36,0.42,0.45,1.07,1.46,0.8,2.55,2.19,1.2,0.96,1.55,1.86,0.94
b_0,0.6,0.78,0.65,0.7,0.21,0.31,1.14,1.28,0.92,1.17,2.77,1.26,2.15,1.33,1.65,1.08
f_0,0.53,0.34,0.77,0.69,0.5,0.43,1.19,1.36,1.05,1.13,1.2,2.97,1.29,1.52,1.64,2.21
a_0,0.56,0.66,0.77,0.78,0.53,0.17,1.24,1.51,0.83,1.1,1.16,1.19,3.08,1.65,1.45,1.08
h_0,0.63,0.92,0.66,0.57,0.38,0.5,0.7,1.34,1.28,1.01,1.12,1.09,1.0,0.8,1.88,0.93
g_0,0.56,0.59,0.95,0.62,0.45,0.34,1.26,1.17,0.47,1.05,1.39,1.85,1.19,1.63,0.92,0.9
e_0,0.26,0.86,0.69,0.67,0.55,0.43,1.21,1.2,1.11,1.14,1.08,1.16,1.09,1.65,1.41,2.97
