,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.42,1.18,1.46,0.97,1.11,0.99,0.33,0.35,0.14,0.31,0.26,0.25,0.18,0.26,0.23,0.16
f_1,1.22,0.42,1.09,1.2,1.18,0.99,0.25,0.39,0.27,0.23,0.36,0.21,0.13,0.2,0.21,0.2
d_1,1.33,1.11,0.41,1.38,1.2,1.32,0.31,0.2,0.41,0.22,0.19,0.21,0.16,0.21,0.19,0.11
e_1,1.29,0.74,1.35,0.41,1.29,1.29,0.39,0.42,0.27,0.28,0.31,0.25,0.19,0.51,0.26,0.22
b_1,0.7,1.52,1.38,1.25,0.4,1.37,0.44,0.41,0.29,0.38,0.27,0.45,0.2,0.25,0.28,0.2
a_1,1.7,1.95,1.75,1.75,0.77,0.32,0.42,0.58,0.36,0.4,0.3,0.47,0.24,0.37,0.53,0.29
h_1,2.16,2.08,1.96,2.43,2.2,1.99,0.31,0.52,0.5,0.39,0.4,0.4,0.37,0.34,0.34,0.32
g_1,2.39,2.44,2.15,2.27,2.62,2.03,0.49,0.29,0.54,0.42,0.48,0.46,0.25,0.43,0.44,0.44
d_0,2.58,2.38,4.05,1.33,2.67,2.21,0.79,0.72,0.33,0.5,0.64,0.46,0.35,0.58,0.54,0.4
c_0,5.73,2.56,1.35,2.8,2.7,2.36,0.7,0.69,0.86,0.31,0.51,0.5,0.36,0.55,0.54,0.33
f_0,2.64,4.76,2.48,2.57,2.6,2.21,0.74,0.46,0.59,0.54,0.32,0.59,0.37,0.53,0.71,0.26
b_0,4.52,2.64,1.88,2.76,3.83,2.7,0.75,0.77,0.63,0.29,0.52,0.32,0.38,0.61,0.52,0.34
h_0,2.89,3.46,2.94,2.95,2.91,2.74,1.16,0.95,0.72,0.61,0.64,0.55,0.58,0.54,0.6,0.41
e_0,3.03,5.24,2.73,4.45,3.16,2.31,0.88,0.66,0.74,0.58,0.33,0.6,0.46,0.29,0.67,0.37
a_0,3.59,3.07,3.07,3.17,3.71,3.9,0.84,0.99,0.66,0.55,0.6,0.35,0.41,0.6,0.3,0.44
g_0,3.52,3.76,2.98,3.12,3.28,3.4,0.71,1.13,0.72,0.63,0.66,0.6,0.35,0.65,0.62,0.54
