,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.5,1.1,0.6,0.63,0.6,0.47,0.7,0.74,0.62,0.61,0.73,0.46,0.8,0.62,0.54,0.75
e_1,0.67,1.52,0.9,0.57,0.67,0.5,0.77,1.34,0.75,0.84,0.76,0.8,0.85,0.63,0.49,0.9
c_1,0.7,0.58,1.55,0.66,1.08,0.61,0.78,0.69,0.66,0.33,0.57,0.7,0.86,0.72,0.72,0.78
d_1,0.82,0.66,0.61,1.57,0.63,0.47,0.82,0.66,0.68,1.37,0.98,0.71,0.93,0.74,0.76,0.76
b_1,0.74,0.66,0.63,0.64,1.6,1.05,0.93,0.85,0.68,0.77,0.45,0.9,0.85,0.66,0.73,0.71
a_1,0.83,0.83,0.76,0.88,0.52,1.77,0.84,0.99,0.99,0.81,0.82,0.89,1.06,0.57,0.68,0.76
h_1,1.22,0.93,0.86,1.02,0.67,0.63,1.74,0.91,1.21,1.0,0.94,0.83,0.84,0.82,0.87,1.37
d_0,1.04,0.82,1.5,0.63,0.86,0.72,1.11,1.58,0.92,0.86,1.07,0.82,1.06,0.92,0.83,1.09
g_1,0.88,0.78,0.96,1.39,0.85,0.62,0.86,1.08,1.82,1.1,1.02,1.54,0.99,0.81,1.06,0.88
c_0,1.19,0.87,0.94,0.89,0.78,0.72,1.1,1.41,1.04,1.66,1.76,1.01,1.48,1.11,0.98,1.14
b_0,1.07,1.05,1.12,0.95,0.56,0.49,1.13,1.27,1.17,1.15,1.73,1.11,1.47,1.72,0.9,1.22
f_0,0.8,0.93,1.09,1.19,0.81,0.74,1.08,1.24,0.9,1.06,1.07,1.71,1.34,0.95,1.76,1.14
h_0,1.36,1.02,0.91,1.12,0.88,0.7,0.84,1.08,1.3,1.02,1.0,0.96,0.95,0.95,1.01,1.41
a_0,1.11,1.13,1.1,1.07,0.83,0.42,1.3,1.06,1.13,1.04,0.87,1.11,1.23,1.71,1.15,1.13
e_0,1.19,0.61,1.08,1.2,1.04,0.62,1.29,1.3,1.01,1.07,1.25,0.82,1.37,1.13,1.75,1.27
g_0,1.13,0.81,1.09,1.36,0.95,1.0,0.89,0.96,0.86,1.1,0.99,1.43,1.32,1.07,1.06,0.91
