,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.14,5.34,9.93,10.69,13.41,14.24,3.0,1.89,2.22,1.57,3.63,2.73,1.63,2.35,8.47,2.19
f_1,9.39,1.14,11.34,10.2,9.41,9.38,1.94,2.48,1.6,2.19,2.88,5.67,1.19,2.41,1.69,1.83
c_1,10.04,11.47,1.14,21.75,10.47,11.17,3.01,1.21,9.06,2.63,3.63,2.4,1.43,2.33,2.68,1.48
d_1,14.82,14.63,11.74,1.14,12.07,12.9,3.3,12.62,2.2,2.86,2.41,2.45,1.65,2.6,2.28,1.16
b_1,13.35,15.39,7.27,14.88,1.15,16.57,5.22,4.09,3.08,15.06,4.89,4.03,3.34,3.32,2.62,1.71
a_1,25.14,23.5,20.85,18.85,10.71,1.15,5.83,6.43,6.13,6.1,6.15,3.5,2.65,17.5,4.04,3.62
h_1,30.21,31.02,26.43,27.04,30.49,24.33,1.94,5.8,4.98,4.92,6.38,5.28,8.63,5.5,5.2,4.47
d_0,17.55,40.4,36.49,77.75,28.91,27.86,11.82,2.59,6.74,5.89,10.72,5.1,5.51,5.42,10.71,5.11
c_0,40.18,43.09,167.85,18.73,40.22,26.33,12.0,8.32,2.66,6.4,8.13,6.95,4.73,6.42,6.28,4.03
b_0,32.75,57.88,69.94,28.27,120.65,37.69,13.18,7.44,5.67,2.64,10.72,7.52,6.3,7.26,8.67,7.32
g_1,49.96,49.09,57.88,34.18,63.07,44.7,9.14,8.95,9.06,8.68,1.95,6.75,5.16,6.02,6.62,20.12
f_0,43.79,168.61,55.95,36.16,45.49,41.78,12.97,12.85,8.67,10.04,8.84,2.51,5.93,8.02,7.91,3.83
h_0,46.95,66.86,67.14,50.16,63.07,38.44,61.85,11.22,10.65,12.49,17.38,8.5,16.54,12.03,8.88,7.49
a_0,48.71,50.36,78.07,56.55,63.07,137.29,25.94,12.85,10.65,5.82,12.92,12.75,7.94,2.71,10.71,8.47
e_0,155.88,76.04,49.37,54.56,57.81,43.68,14.62,13.86,12.14,18.29,18.67,5.81,9.23,12.03,2.84,10.39
g_0,66.05,80.79,63.34,56.55,77.08,80.08,17.48,13.34,15.18,13.13,,12.41,7.63,12.42,14.0,23.0
