,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.45,1.52,2.34,1.76,1.6,1.34,3.01,3.91,3.25,3.38,3.74,2.95,4.25,3.77,2.73,3.91
d_1,1.88,2.54,1.74,1.34,1.58,1.69,3.4,3.1,3.12,5.56,4.1,3.64,4.73,4.09,4.15,4.26
e_1,1.55,1.54,2.53,2.12,1.56,1.59,3.14,5.59,3.31,3.45,4.01,4.48,4.58,3.75,3.96,4.72
c_1,1.62,1.91,1.42,2.63,2.56,1.86,2.83,2.79,3.0,2.65,2.94,3.35,4.36,3.71,3.41,4.78
b_1,1.6,1.83,1.59,1.37,2.77,2.76,3.3,3.3,3.18,3.65,2.73,3.71,4.49,3.06,3.63,4.91
a_1,1.94,1.72,1.71,1.5,1.6,3.22,3.6,3.71,3.59,3.44,3.71,3.78,4.75,3.36,3.93,4.2
h_1,2.01,1.65,1.8,2.0,1.54,1.64,4.33,3.55,3.98,3.22,3.76,3.71,4.0,3.54,3.82,6.04
d_0,1.68,1.56,1.42,2.72,1.88,1.74,3.35,4.36,3.17,2.57,3.77,3.99,4.61,3.87,4.14,4.78
g_1,1.62,2.24,1.54,1.91,1.66,1.58,3.27,3.22,4.72,3.7,3.83,4.57,4.34,4.4,4.22,4.8
c_0,1.8,1.46,1.92,1.82,1.37,1.85,3.58,4.6,3.52,4.56,6.25,4.43,4.92,4.54,4.5,4.91
b_0,1.69,1.69,1.68,2.14,1.54,1.44,3.47,3.8,3.55,3.16,4.78,4.02,5.34,6.6,5.02,5.08
f_0,1.65,1.66,1.39,2.0,1.87,1.91,3.61,3.68,3.34,3.71,3.81,4.9,4.65,3.91,6.76,4.52
h_0,2.19,1.7,1.81,1.83,1.59,1.45,2.93,3.65,4.02,3.4,3.7,3.6,4.16,3.85,3.9,5.68
a_0,1.63,1.74,1.63,1.85,1.87,1.69,3.92,3.84,3.25,3.72,3.55,4.26,5.17,5.41,4.32,5.4
e_0,2.05,1.63,1.42,1.98,1.87,1.68,3.7,3.62,3.72,3.65,3.6,3.2,5.72,4.38,5.68,4.55
g_0,1.74,2.11,1.51,1.77,1.56,1.88,2.94,3.63,2.81,3.83,4.02,4.84,4.16,3.9,4.92,4.37
