,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.96,1.28,0.71,0.74,0.63,0.62,0.91,0.92,0.82,0.86,0.92,0.58,0.88,0.64,0.94,0.98
e_1,0.8,2.01,0.99,0.67,0.63,0.6,0.88,1.63,0.9,0.92,1.13,0.99,1.08,0.72,1.06,0.9
c_1,0.74,0.6,2.26,0.7,1.43,0.84,0.9,0.84,0.51,0.83,0.59,0.95,0.96,1.09,0.75,0.79
d_1,0.92,0.75,0.59,2.41,0.68,0.6,0.97,0.63,1.75,0.93,1.12,0.95,1.13,0.96,1.04,1.06
b_1,0.69,0.71,0.71,0.76,2.51,1.55,0.93,0.81,0.88,0.86,0.54,0.96,0.88,1.01,0.64,0.97
a_1,0.81,0.63,0.75,0.85,0.7,3.38,1.11,0.92,1.0,1.16,1.09,1.22,0.97,1.05,0.64,1.0
h_1,1.07,0.83,0.79,0.98,0.75,0.64,2.13,0.89,0.94,1.41,1.11,1.12,0.76,1.16,1.19,1.41
d_0,0.74,0.82,1.47,0.54,0.95,0.68,1.05,1.52,0.84,1.0,0.99,1.15,1.09,1.2,1.15,1.1
c_0,0.89,0.83,0.72,1.01,0.62,0.78,1.22,1.01,1.77,1.15,2.24,1.12,1.17,1.13,1.29,1.36
g_1,0.76,0.79,0.87,1.25,0.66,0.75,0.98,0.9,1.06,2.59,0.98,1.56,1.05,1.29,1.1,0.69
b_0,1.03,0.88,0.96,0.85,0.49,0.49,1.2,1.07,1.09,1.19,2.1,1.05,1.37,1.18,2.74,1.22
f_0,0.69,0.62,0.99,1.01,0.86,0.81,1.06,1.1,1.09,1.11,1.22,2.2,1.0,2.53,1.35,1.24
h_0,1.15,0.76,0.87,0.88,0.71,0.77,0.81,1.01,1.06,1.44,1.24,1.01,0.83,0.98,1.14,1.52
e_0,0.75,0.62,0.94,1.03,0.97,0.79,1.05,0.92,1.08,1.05,0.99,1.3,1.01,2.36,1.27,1.37
a_0,0.98,0.79,0.88,0.91,0.87,0.37,1.07,1.23,1.2,0.89,1.33,1.09,1.34,1.39,2.69,1.2
g_0,0.77,0.72,0.79,1.46,0.75,0.71,1.0,0.83,1.16,0.9,1.23,1.67,0.95,1.33,1.22,0.83
