,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.05,1.24,0.69,0.73,0.64,0.66,0.92,0.87,0.98,0.88,0.63,0.97,0.96,0.68,0.98,0.86
e_1,0.83,2.07,0.96,0.64,0.7,0.78,0.88,0.85,1.61,0.87,1.0,0.93,0.93,0.72,1.0,0.96
c_1,0.75,0.65,2.18,0.74,1.4,0.58,0.94,0.91,0.84,0.51,0.91,0.68,0.98,1.0,0.9,0.97
d_1,0.82,0.69,0.58,2.33,0.66,0.63,1.02,0.93,0.69,1.92,1.06,1.15,1.04,1.12,0.94,1.25
b_1,0.76,0.72,0.76,0.71,2.49,1.41,1.04,0.8,0.73,0.76,0.92,0.55,0.92,0.92,0.82,0.94
a_1,0.81,0.81,0.91,0.79,0.59,3.64,0.98,1.12,1.03,0.75,1.06,1.05,0.96,1.06,0.61,0.8
h_1,1.07,0.81,0.75,0.88,0.73,0.72,2.01,1.37,0.91,0.97,1.02,1.1,0.82,0.97,0.97,1.29
g_1,0.73,0.71,0.82,1.39,0.71,0.75,0.87,2.44,0.76,1.16,1.69,1.23,0.98,1.2,1.11,0.78
d_0,0.78,0.8,1.49,0.52,0.86,0.81,1.02,1.12,1.46,0.71,1.16,1.09,1.1,0.94,1.06,0.96
c_0,1.02,0.84,0.71,0.94,0.54,0.76,0.95,1.1,1.02,1.82,1.01,2.22,1.22,1.31,1.36,1.28
f_0,0.62,0.71,0.98,0.96,0.9,0.82,1.04,1.03,1.04,1.03,1.93,1.3,1.18,2.28,1.02,1.13
b_0,0.9,0.82,0.95,1.06,0.44,0.62,1.04,1.21,1.1,1.12,1.0,2.01,1.39,1.02,2.34,0.98
h_0,1.08,0.76,0.84,0.96,0.83,0.66,0.86,1.43,1.03,1.02,1.07,1.1,0.95,1.14,1.29,1.41
e_0,0.87,0.66,0.79,1.12,0.89,0.83,1.04,1.22,0.91,1.14,1.32,1.41,1.35,2.41,1.21,1.13
a_0,0.9,0.68,0.85,1.09,0.78,0.57,1.17,1.22,1.14,1.12,1.07,1.17,1.38,1.19,2.33,1.15
g_0,0.71,0.71,0.78,1.28,0.84,0.76,0.98,0.83,0.95,1.18,1.56,1.24,1.16,1.41,1.27,0.7
