,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.35,1.19,1.33,0.91,1.0,0.8,1.82,3.58,1.74,1.5,1.76,1.94,1.91,2.65,1.33,2.4
f_1,1.81,2.39,1.02,0.91,0.95,0.77,1.69,2.38,1.93,1.32,1.88,1.48,1.88,2.43,1.39,2.29
c_1,0.96,1.06,2.46,0.99,1.73,0.86,1.65,1.8,1.52,1.63,1.53,1.96,1.47,2.58,1.74,2.32
d_1,1.05,1.17,0.77,2.49,0.96,0.8,2.16,1.48,3.81,1.88,2.78,1.89,2.04,2.77,2.08,2.22
b_1,1.0,1.05,1.17,1.01,2.54,1.43,1.98,2.04,1.91,1.59,1.44,1.79,1.5,2.51,1.75,2.41
a_1,1.14,1.07,1.18,1.17,0.96,3.15,2.09,2.1,2.04,1.81,1.83,2.12,1.82,2.53,2.05,2.88
h_1,1.1,1.48,1.12,1.2,1.07,0.91,3.56,1.95,2.06,2.08,2.25,2.05,2.26,1.92,2.06,3.02
d_0,1.08,1.16,1.9,0.86,1.21,0.72,1.7,3.36,1.67,1.9,1.59,2.03,1.97,2.71,1.84,2.16
c_0,1.15,1.25,0.92,1.29,0.86,0.88,2.32,2.39,3.52,2.0,4.02,2.69,2.72,2.91,1.87,2.68
g_1,1.01,0.96,1.07,1.68,1.11,0.87,1.95,1.72,2.34,3.92,2.25,3.13,2.12,2.72,2.33,1.97
b_0,1.07,1.11,1.1,1.31,0.99,0.96,2.26,2.19,2.59,2.13,3.73,2.31,3.7,2.9,2.08,2.76
f_0,0.97,1.08,1.1,1.17,1.17,0.96,2.23,2.43,2.34,2.05,2.66,3.71,2.36,3.49,3.9,2.7
a_0,1.15,1.25,1.14,1.2,1.02,0.68,2.31,2.36,2.51,1.86,2.34,2.07,3.83,3.06,2.05,2.66
h_0,1.14,1.47,1.1,1.12,1.05,0.92,1.37,2.14,2.4,2.34,2.44,2.13,1.81,2.36,2.12,3.47
e_0,1.01,1.36,1.01,1.36,1.0,0.77,2.43,2.28,2.49,1.98,2.25,2.19,2.41,2.89,3.58,3.14
g_0,1.1,1.13,1.1,1.62,1.03,0.76,2.09,1.9,2.62,1.5,2.11,3.02,1.82,2.59,2.13,2.43
