,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,15.99,1.16,0.42,0.51,0.46,0.47,0.81,0.76,0.79,0.95,0.98,0.36,0.85,0.95,0.64,0.77
e_1,0.64,17.39,0.49,0.62,0.44,0.48,0.84,1.03,0.95,2.01,1.04,0.94,1.05,0.97,0.4,0.81
d_1,0.57,0.47,18.76,0.55,0.44,0.58,0.82,0.86,1.86,0.34,1.07,0.94,0.93,0.94,1.02,1.06
c_1,0.53,0.4,0.44,19.6,1.38,0.48,0.87,0.78,0.28,0.71,0.75,0.9,0.93,0.94,0.93,1.06
b_1,0.5,0.47,0.61,0.46,21.52,1.17,0.98,0.84,0.91,0.75,0.42,1.18,0.74,0.89,1.12,0.81
a_1,0.46,0.44,0.71,0.64,0.56,34.55,0.92,0.74,0.82,0.81,0.7,0.84,0.38,0.89,1.04,1.38
h_1,0.94,0.65,0.71,0.69,0.59,0.64,5.2,1.36,0.91,1.01,1.26,1.23,1.22,0.8,1.12,1.64
g_1,0.46,0.58,1.2,0.68,0.53,0.74,1.04,7.04,1.36,1.12,1.18,2.02,1.21,1.31,1.59,0.53
c_0,0.93,0.67,0.75,0.28,0.55,0.71,1.07,1.06,3.53,1.3,2.92,1.25,1.53,1.29,1.35,1.29
d_0,0.7,0.61,0.35,1.65,0.57,0.69,1.11,1.2,0.75,3.44,1.14,1.37,1.17,1.17,1.28,1.01
b_0,0.74,0.63,0.81,0.81,0.33,0.4,1.46,1.24,1.17,1.51,4.23,1.34,2.73,1.62,1.44,1.46
f_0,0.45,0.56,0.96,0.7,0.67,0.72,1.25,1.11,1.08,1.03,1.44,4.23,1.2,1.52,2.81,1.31
a_0,0.7,0.72,0.85,0.88,0.57,0.19,1.33,1.37,1.32,1.15,0.99,1.27,4.61,1.71,1.43,1.33
h_0,1.02,0.58,0.9,0.77,0.65,0.61,0.46,1.58,1.18,1.18,0.9,1.27,1.02,0.57,1.2,1.52
e_0,0.98,0.27,0.85,0.74,0.76,0.46,1.46,0.98,1.25,1.05,1.17,1.28,1.12,1.7,5.83,1.3
g_0,0.58,0.55,1.34,0.65,0.8,0.69,1.04,0.51,1.18,1.02,1.14,2.28,1.39,1.15,1.24,0.57
