,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,106.75,95.13,84.41,95.75,104.01,280.95,9835.06,21940.26,20750.67,30204.58,38738.66,42701.16,110555.43,168939.22,115019.39,230648.69
e_1,61.51,107.65,81.67,111.83,111.3,330.53,13517.96,30607.02,18951.84,31452.71,42123.54,66830.55,126275.24,207210.34,160334.04,264526.1
d_1,66.54,56.68,141.86,76.18,90.71,302.97,10177.21,13445.01,31134.84,22494.66,46269.34,58094.67,118787.63,157779.85,163759.75,210100.16
c_1,58.92,53.78,75.26,145.87,150.3,294.02,10932.02,13463.97,15879.95,26708.8,25493.51,52260.16,94585.39,136683.34,168173.12,206438.83
b_1,51.5,49.98,79.81,67.99,165.16,497.79,11384.71,16908.62,17103.95,30072.67,29685.78,51830.7,109805.35,120484.62,130166.04,206113.34
a_1,41.46,35.32,57.69,55.44,54.87,417.04,8822.14,13488.01,12987.51,21469.54,28363.97,42897.46,79723.45,84105.73,122618.98,178991.61
h_1,19.47,13.67,23.43,22.3,20.7,63.97,4048.5,4185.48,4906.21,8588.52,9641.29,13527.18,22129.98,35101.94,40058.47,69588.64
d_0,12.7,11.03,15.7,32.67,23.09,55.03,2527.07,5048.74,2942.8,6018.47,8310.79,12116.31,24609.33,31517.92,34966.94,45755.63
c_0,13.71,13.9,16.63,14.29,19.31,65.72,2604.71,4646.31,5542.64,6572.9,14268.2,11425.66,25481.64,39453.85,38054.14,54208.83
g_1,9.71,9.85,23.51,16.36,16.74,48.1,1879.05,3051.29,3573.93,8426.38,6886.73,14848.62,21115.04,27320.65,33087.15,36055.68
b_0,12.02,10.66,15.2,16.92,12.24,41.38,1909.23,3007.0,2867.63,5435.77,9377.98,9930.54,20383.75,47363.64,32164.8,41282.89
f_0,8.63,7.62,14.41,13.9,15.82,44.48,1822.77,2818.68,3253.61,4092.68,6363.74,12442.01,18490.84,23082.8,44960.6,31013.05
h_0,9.46,7.39,11.61,11.66,12.37,35.54,1354.32,2391.26,2661.36,4167.79,5163.87,7517.72,11219.51,19255.22,18558.85,36932.23
a_0,6.6,5.88,10.69,10.26,11.08,22.4,1226.98,2055.09,2334.38,3417.24,4201.2,7369.95,13419.35,26213.25,18999.9,29032.34
e_0,7.63,4.69,9.37,9.66,12.37,31.77,1225.87,1864.35,2304.03,3054.08,4612.98,5667.56,15140.68,17159.67,27713.06,24951.79
g_0,5.47,5.16,11.99,9.0,9.84,27.71,1115.44,1965.85,1975.58,2819.47,3983.01,9251.54,10614.52,17687.03,18179.12,20355.16
