,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.43,1.24,1.44,1.2,1.29,1.22,0.57,0.5,0.66,0.52,0.54,0.99,0.44,0.57,0.63,0.6
e_1,0.85,0.42,1.29,1.14,1.37,1.29,0.7,0.79,0.93,0.59,0.56,0.73,0.57,1.94,0.67,0.55
c_1,1.09,1.38,0.4,1.66,1.71,1.34,0.7,0.35,0.72,0.88,0.59,0.51,0.45,0.41,0.48,0.51
d_1,1.34,1.74,1.14,0.38,1.15,1.04,0.72,1.24,0.49,0.61,0.63,0.53,0.5,0.66,0.61,0.36
b_1,1.44,1.34,0.74,1.51,0.37,1.94,0.63,0.72,0.6,0.76,1.3,0.6,0.47,0.53,0.52,0.43
a_1,1.38,1.43,1.23,1.69,0.68,0.31,0.78,0.82,0.78,0.64,0.64,0.59,0.52,0.57,1.12,0.61
h_1,1.03,0.92,1.06,0.89,1.1,0.94,0.26,0.43,0.58,0.44,0.38,0.38,0.66,0.39,0.37,0.36
d_0,1.27,0.54,1.26,2.01,0.91,0.75,0.57,0.28,0.58,0.49,0.42,0.36,0.36,0.49,0.43,0.4
g_1,1.15,0.78,1.0,1.08,1.05,0.97,0.42,0.4,0.23,0.42,0.44,0.45,0.3,0.47,0.41,0.55
c_0,1.07,1.03,2.25,0.54,0.93,1.02,0.5,0.5,0.47,0.26,0.56,0.52,0.33,0.39,0.5,0.35
b_0,1.1,0.76,1.36,0.79,2.07,0.9,0.66,0.41,0.49,0.23,0.24,0.44,0.35,0.47,0.46,0.38
f_0,1.98,0.85,1.04,1.05,0.86,0.92,0.52,0.45,0.39,0.37,0.38,0.23,0.4,0.41,0.4,0.24
h_0,1.21,0.85,1.12,0.79,0.88,0.85,0.8,0.4,0.6,0.46,0.5,0.43,0.5,0.4,0.4,0.45
e_0,1.27,1.19,1.2,0.75,0.92,0.74,0.48,0.35,0.47,0.43,0.39,0.29,0.3,0.21,0.43,0.31
a_0,0.96,0.69,1.15,0.96,1.3,1.5,0.56,0.41,0.5,0.34,0.25,0.47,0.41,0.51,0.21,0.41
g_0,1.27,0.92,0.92,0.9,0.98,0.89,0.49,0.4,0.9,0.39,0.37,0.42,0.27,0.35,0.33,0.56
