,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,3.27,4.26,3.56,3.68,2.99,1.74,1.72,2.03,1.56,1.82,,0.81,1.77,1.47,1.51
d_1,3.87,0.41,3.27,3.37,3.05,3.23,2.65,,1.46,2.4,1.41,1.48,1.31,1.49,1.41,1.04
e_1,2.21,4.77,0.41,3.23,3.83,3.76,1.58,2.11,2.17,1.41,1.67,1.53,1.47,1.38,,2.06
c_1,3.56,3.9,4.42,0.39,5.19,4.6,1.58,0.83,2.48,,1.44,1.8,1.46,1.67,1.39,1.22
b_1,3.47,3.83,3.47,2.27,0.37,3.71,2.43,1.56,1.53,1.77,,1.34,1.45,1.82,,1.28
a_1,5.05,3.82,3.08,2.95,2.4,0.31,2.16,1.66,1.96,1.88,1.99,1.37,1.44,,,1.08
h_1,1.59,1.45,2.25,2.25,1.4,1.75,0.26,0.85,0.95,0.86,0.77,0.84,,0.8,0.8,0.79
d_0,1.83,,0.99,2.16,1.67,1.41,0.94,0.29,0.67,0.64,0.65,0.63,0.59,0.79,0.69,0.73
g_1,1.62,1.88,2.07,1.43,2.43,1.74,0.81,1.04,0.24,0.88,0.92,0.82,0.51,1.03,0.97,
c_0,1.56,1.05,1.52,,1.77,1.77,0.68,0.78,0.97,0.28,1.07,0.75,0.69,0.63,0.54,0.59
b_0,1.34,1.79,1.73,1.91,,1.85,0.88,0.67,0.84,0.43,0.27,0.69,0.59,0.94,1.0,0.5
f_0,,1.95,1.77,1.48,1.68,1.7,0.8,0.89,0.65,0.65,0.75,0.25,0.62,0.93,0.73,0.36
h_0,1.95,1.11,1.18,1.25,1.1,1.3,,0.61,0.82,0.52,0.52,0.68,,0.38,0.48,0.61
a_0,1.87,1.43,1.81,1.67,1.97,,0.84,0.65,0.87,0.82,0.44,0.68,0.86,0.22,,0.55
e_0,2.25,1.54,,1.98,,,0.72,0.76,0.73,0.82,0.5,0.64,0.54,,0.21,0.64
g_0,1.26,1.39,1.37,1.22,1.23,1.67,0.53,0.49,,0.62,0.7,0.71,0.41,0.55,0.64,
