,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,104.57,36.61,42.46,49.23,77.02,167.78,5265.52,8146.5,16776.87,6107.68,19131.37,20734.22,54348.18,57521.33,54977.2,77101.58
e_1,26.05,109.98,31.98,63.62,85.57,245.23,4564.42,8642.85,9926.13,24212.61,16203.65,20790.56,58674.82,60128.15,27807.49,80976.24
f_1,29.7,52.4,114.53,64.41,81.98,185.86,3504.78,8765.15,9373.63,11865.34,16087.72,9807.51,51782.42,40502.76,42467.81,55667.74
c_1,30.99,29.48,28.55,169.7,114.94,177.7,4216.5,6380.1,3024.54,9936.44,10734.45,17173.74,43732.43,25707.34,27265.08,76103.79
b_1,26.16,23.86,28.02,33.51,229.64,304.63,3592.98,6245.66,7551.74,9328.52,7724.82,13715.25,28481.9,27184.29,48568.17,61905.63
a_1,19.06,19.04,22.04,31.19,28.75,511.02,2276.55,5389.19,4979.68,8911.22,9107.93,12175.96,41875.06,16936.05,33180.4,42614.16
h_1,9.94,9.42,15.41,17.92,27.24,74.22,2856.32,3607.71,3343.96,4828.48,5020.08,6059.11,8708.42,13181.5,19706.41,30797.28
g_1,12.38,8.16,6.2,18.53,21.93,52.35,916.33,4939.29,2426.25,2612.66,4177.45,6085.13,13810.46,15761.83,15444.62,13932.61
c_0,8.01,9.92,10.05,13.07,20.63,57.99,1098.49,2410.65,4224.7,4086.42,6661.17,5166.65,16514.08,14575.55,15120.86,22171.62
d_0,3.75,6.38,9.89,23.69,21.18,45.33,1055.29,2378.71,2007.5,5449.82,3446.77,4924.64,13240.63,11297.94,13394.72,18133.26
b_0,8.17,8.48,9.1,12.23,8.25,42.27,1022.63,1860.96,2155.08,3215.44,6321.52,4035.51,14161.12,21388.51,11969.58,22522.48
f_0,7.6,5.74,4.35,13.11,18.99,54.18,1129.59,2064.72,2354.2,2802.45,3463.25,7097.58,14225.44,10868.53,21159.14,14161.2
h_0,6.06,4.98,7.54,9.91,16.62,19.45,388.38,1563.52,1502.49,2049.48,1999.3,2389.78,4828.73,8421.85,6587.71,14633.19
a_0,5.22,4.64,6.66,11.17,13.29,18.77,871.93,1236.23,1886.58,2343.5,2067.32,3239.9,9074.06,14903.74,8599.82,12056.89
e_0,5.77,2.72,6.2,11.59,11.28,32.87,765.98,1191.76,1589.83,2222.05,2518.21,2328.41,9897.38,7849.88,16669.53,13118.2
g_0,6.96,4.01,5.32,7.63,10.31,29.09,592.42,818.35,1396.8,1773.32,1749.98,3945.45,6760.16,6802.44,6667.5,7009.53
