,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.53,0.95,0.93,1.21,0.96,0.8,1.17,1.12,1.75,1.1,1.12,1.07,1.14,1.31,0.86,1.13
f_1,1.43,1.54,0.94,1.02,0.88,0.74,1.04,1.01,1.23,1.12,1.18,0.82,1.01,1.11,0.83,1.03
d_1,1.02,1.11,1.57,0.88,0.95,0.82,1.19,1.08,1.04,1.78,1.4,1.13,1.13,1.33,1.03,1.15
c_1,0.95,1.04,1.03,1.59,1.46,0.86,1.21,1.1,1.01,0.83,0.88,1.07,1.07,1.2,1.01,1.07
b_1,1.04,1.1,1.1,0.89,1.63,1.38,1.23,1.13,1.14,1.08,0.92,1.21,0.89,1.36,1.04,1.28
a_1,1.21,1.21,1.14,1.06,0.85,1.77,1.44,1.32,1.25,1.38,1.29,1.15,1.18,1.5,1.27,1.37
h_1,1.25,1.55,1.39,1.27,1.15,0.85,1.87,1.59,1.36,1.38,1.37,1.35,1.31,1.35,1.27,1.71
g_1,1.19,1.18,1.66,1.29,1.15,0.95,1.37,1.94,1.54,1.51,1.42,1.77,1.36,1.7,1.34,1.21
d_0,1.18,1.24,1.19,1.89,1.4,1.06,1.5,1.4,1.8,1.18,1.34,1.39,1.4,1.7,1.36,1.53
c_0,1.37,1.4,1.19,1.32,1.21,0.97,1.53,1.41,1.73,1.87,2.35,1.53,1.84,1.82,1.34,1.56
b_0,1.37,1.42,1.23,1.5,1.12,0.89,1.54,1.43,1.64,1.28,1.89,1.47,2.29,1.83,1.37,1.53
f_0,1.22,1.37,1.45,1.4,1.21,1.2,1.46,1.4,1.78,1.69,1.49,1.97,1.7,1.97,2.29,1.58
a_0,1.51,1.59,1.38,1.33,1.3,0.97,1.57,1.45,1.5,1.47,1.48,1.43,1.87,1.89,1.56,1.54
h_0,1.37,1.74,1.4,1.38,1.21,1.03,1.35,1.44,1.5,1.49,1.57,1.29,1.3,1.52,1.55,1.67
e_0,1.36,1.65,1.42,1.37,1.39,1.12,1.67,1.54,1.55,1.48,1.55,1.25,1.48,1.71,1.92,1.62
g_0,1.34,1.47,1.84,1.38,1.22,1.01,1.53,1.44,1.42,1.7,1.55,1.96,1.47,1.71,1.61,1.51
