,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,3.92,0.71,0.37,0.36,0.33,0.43,0.67,0.82,0.74,0.78,0.89,0.18,0.77,0.84,0.5,0.85
e_1,0.38,4.03,0.26,0.45,0.46,0.38,0.8,0.55,0.84,1.55,0.85,0.73,0.94,0.8,0.21,0.86
d_1,0.44,0.4,4.09,0.35,0.35,0.42,0.82,0.75,1.5,0.11,0.95,1.13,0.79,0.86,0.85,0.84
c_1,0.33,0.42,0.4,4.21,0.8,0.35,0.65,0.53,0.13,0.85,0.56,0.81,0.73,0.95,0.75,0.95
b_1,0.44,0.34,0.44,0.44,4.57,0.6,0.67,0.58,0.66,0.7,0.19,0.81,0.78,1.01,1.05,0.93
a_1,0.46,0.35,0.47,0.38,0.34,6.74,0.68,0.76,0.76,0.96,0.66,0.81,0.15,0.87,0.96,1.09
h_1,0.92,0.63,0.82,0.68,0.61,0.41,5.38,1.84,1.68,1.24,1.55,1.19,1.42,0.56,1.25,1.92
g_1,0.69,0.49,1.13,0.82,0.45,0.53,1.04,6.54,1.06,1.13,1.37,2.49,1.29,1.57,1.91,0.47
c_0,0.71,0.72,0.84,0.24,0.55,0.8,1.43,1.84,4.22,1.32,3.27,1.71,1.84,1.61,1.62,1.4
d_0,0.73,0.63,0.23,1.31,0.69,0.75,1.93,1.14,1.11,4.02,1.43,1.23,1.55,1.36,1.02,1.31
b_0,0.88,0.69,0.81,0.73,0.25,0.48,1.37,1.25,1.69,1.51,4.56,1.92,3.04,1.89,1.29,1.36
f_0,0.26,0.62,0.85,0.81,0.66,0.74,1.5,1.88,1.71,1.42,1.41,4.98,1.38,1.66,3.36,1.25
a_0,0.79,0.54,0.94,0.77,0.67,0.23,1.53,1.35,1.5,1.3,1.68,1.5,5.64,2.15,1.65,1.53
h_0,1.01,0.55,0.8,0.7,0.58,0.62,0.59,2.12,1.51,1.39,1.66,1.27,1.42,0.48,2.09,1.76
e_0,0.8,,0.88,0.84,0.56,0.79,1.91,1.78,1.44,1.57,1.91,1.52,1.24,1.7,7.58,1.74
g_0,0.61,0.65,1.23,0.66,0.6,0.67,1.37,0.65,1.37,0.87,1.45,2.01,1.45,1.33,1.59,0.51
