,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.78,1.14,0.83,0.93,0.73,0.51,0.6,0.46,0.41,0.44,0.38,0.37,0.33,0.33,0.35
f_1,1.3,1.0,0.97,0.83,0.84,0.77,0.43,0.45,0.43,0.4,0.34,0.36,0.29,0.32,0.34,0.24
c_1,0.87,1.04,1.0,1.15,1.28,0.77,0.49,0.33,0.42,0.37,0.38,0.34,0.41,0.32,0.37,0.29
d_1,1.18,1.21,0.87,1.0,0.9,0.7,0.51,0.46,0.38,0.57,0.43,0.46,0.37,0.35,0.3,0.31
b_1,1.08,1.16,0.78,1.14,1.0,1.21,0.6,0.49,0.55,0.51,0.46,0.45,0.39,0.35,0.31,0.33
a_1,1.36,1.28,1.28,1.42,0.86,1.0,0.7,0.65,0.64,0.6,0.62,0.69,0.49,0.42,0.45,0.52
h_1,1.94,2.36,2.02,1.87,1.69,1.4,1.0,0.81,0.99,0.76,0.73,0.68,0.7,0.59,0.66,0.57
d_0,1.61,2.15,3.02,2.16,2.09,1.57,1.22,1.0,1.0,0.69,0.82,0.72,0.82,0.73,0.69,0.71
g_1,2.15,2.34,2.35,2.66,1.89,1.56,1.01,1.05,1.0,0.92,1.05,0.86,0.66,0.68,0.68,0.69
c_0,2.6,2.47,2.6,1.8,1.86,1.54,1.29,1.46,1.09,1.0,0.98,1.25,0.8,0.89,0.71,0.76
f_0,2.29,2.84,2.74,2.39,2.15,1.56,1.36,1.15,0.89,1.0,1.0,1.0,0.97,0.78,0.64,1.15
b_0,2.54,2.78,2.98,2.13,2.27,1.53,1.46,1.36,1.18,0.8,0.99,1.0,0.88,1.21,0.72,0.84
h_0,2.79,3.39,2.42,2.79,2.53,2.01,1.44,1.28,1.52,1.22,1.02,1.13,1.0,0.93,1.02,0.84
a_0,2.95,3.12,3.15,2.68,2.86,2.45,1.73,1.41,1.4,1.11,1.21,0.85,1.08,1.0,0.96,0.9
g_0,3.04,2.98,2.72,3.33,3.03,2.18,1.51,1.39,1.5,1.4,1.48,1.28,0.94,1.0,1.0,1.02
e_0,3.12,3.74,3.62,3.31,2.92,1.94,1.69,1.43,1.45,1.4,0.89,1.23,1.16,1.08,0.93,1.01
