,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,22.85,0.33,0.24,0.41,0.4,0.29,0.66,1.62,0.81,0.69,0.83,0.91,1.07,0.97,0.17,0.8
f_1,0.61,24.02,0.29,0.35,0.25,0.31,0.91,0.68,0.91,0.53,0.9,0.17,0.74,0.88,0.71,1.05
d_1,0.35,0.36,28.54,0.21,0.38,0.37,0.75,0.1,1.57,0.82,0.72,0.86,0.83,0.8,0.65,0.83
c_1,0.36,0.25,0.37,29.65,0.8,0.31,0.54,0.73,0.09,0.59,0.74,0.8,0.91,0.65,0.85,0.74
b_1,0.22,0.39,0.31,0.39,33.39,0.66,0.7,0.99,0.71,0.9,0.24,0.72,0.79,0.72,0.88,0.71
a_1,0.36,0.42,0.32,0.35,0.24,45.47,0.94,0.92,0.56,0.45,0.75,0.66,0.83,0.21,1.15,0.87
h_1,0.52,1.05,0.83,0.56,0.59,0.44,9.35,1.01,1.38,1.69,1.53,1.28,0.51,1.46,1.05,1.87
d_0,0.62,0.73,0.18,1.7,0.62,0.58,0.97,4.81,1.01,1.09,1.35,1.5,1.69,1.12,1.31,1.36
c_0,0.63,0.85,0.88,0.2,0.48,0.85,1.35,0.96,5.42,1.31,3.22,1.62,1.78,1.5,1.61,1.84
g_1,0.51,0.47,1.54,0.57,0.45,0.69,1.19,1.11,1.27,12.69,1.19,2.47,1.46,1.16,2.27,0.45
b_0,0.69,0.71,0.82,0.6,0.12,0.76,1.54,1.62,1.64,1.35,6.09,1.66,1.66,2.71,1.86,1.81
f_0,0.52,0.22,0.8,0.86,0.58,0.8,1.38,1.51,1.74,1.98,1.97,6.48,1.99,1.6,3.62,2.03
h_0,0.5,0.95,0.59,0.61,0.61,0.69,0.56,1.72,1.59,2.02,1.37,1.98,0.6,1.28,1.86,2.0
a_0,0.59,0.89,0.71,0.81,0.39,,2.11,1.33,1.46,1.85,1.23,2.15,1.76,8.9,1.56,2.05
e_0,,0.7,0.85,0.64,0.75,0.78,1.21,1.55,1.56,1.76,2.24,2.12,2.41,1.72,9.67,1.62
g_0,0.53,0.44,1.25,0.67,0.73,0.43,1.15,1.2,1.46,0.54,1.58,3.19,1.43,1.59,1.42,0.84
