,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.94,0.42,0.42,0.54,0.38,0.29,0.32,0.27,0.46,0.29,0.27,0.23,0.26,0.29,0.13,0.19
f_1,0.74,0.95,0.42,0.42,0.33,0.26,0.26,0.24,0.27,0.27,0.27,0.14,0.19,0.21,0.15,0.19
d_1,0.46,0.51,0.95,0.37,0.39,0.29,0.33,0.27,0.24,0.47,0.33,0.26,0.23,0.26,0.22,0.22
c_1,0.45,0.47,0.5,0.94,0.68,0.27,0.32,0.27,0.24,0.17,0.21,0.21,0.22,0.24,0.19,0.2
b_1,0.51,0.58,0.48,0.37,0.94,0.51,0.31,0.32,0.29,0.23,0.19,0.27,0.17,0.32,0.2,0.24
a_1,0.56,0.61,0.51,0.52,0.41,0.94,0.4,0.38,0.31,0.35,0.35,0.26,0.27,0.35,0.27,0.27
h_1,0.69,0.98,0.72,0.7,0.59,0.38,0.76,0.56,0.4,0.41,0.42,0.38,0.34,0.32,0.3,0.44
g_1,0.77,0.69,0.98,0.78,0.61,0.39,0.46,0.76,0.51,0.44,0.42,0.53,0.37,0.46,0.32,0.25
d_0,0.72,0.76,0.61,1.22,0.68,0.48,0.53,0.45,0.67,0.37,0.42,0.38,0.37,0.44,0.37,0.34
c_0,0.87,0.8,0.67,0.72,0.64,0.46,0.55,0.49,0.59,0.69,0.8,0.49,0.48,0.54,0.36,0.37
b_0,0.85,0.85,0.74,0.88,0.54,0.39,0.53,0.48,0.54,0.42,0.7,0.44,0.71,0.51,0.36,0.36
f_0,0.78,0.69,0.83,0.84,0.61,0.7,0.54,0.45,0.66,0.56,0.46,0.67,0.46,0.58,0.69,0.37
a_0,0.89,1.01,0.88,0.78,0.89,0.37,0.63,0.45,0.55,0.49,0.45,0.48,0.62,0.53,0.46,0.44
h_0,0.83,1.22,0.89,0.89,0.67,0.51,0.46,0.51,0.5,0.46,0.49,0.39,0.36,0.39,0.42,0.49
e_0,0.86,1.15,0.89,0.91,0.74,0.56,0.73,0.53,0.53,0.5,0.54,0.4,0.4,0.5,0.62,0.45
g_0,0.82,0.97,1.34,0.92,0.67,0.5,0.54,0.53,0.51,0.59,0.52,0.68,0.38,0.47,0.43,0.35
