,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.1,2.74,2.74,3.01,2.71,2.62,0.61,0.85,0.68,0.58,0.9,0.59,0.31,0.58,0.53,0.49
e_1,1.84,1.1,3.15,3.28,2.98,2.97,0.95,0.92,0.7,0.62,0.85,0.78,0.44,0.68,1.11,0.48
d_1,3.42,3.76,1.09,2.99,2.94,2.55,0.82,0.57,1.25,0.57,0.54,0.52,0.4,0.48,0.58,0.29
c_1,3.38,2.79,4.34,1.11,3.63,3.89,0.96,0.91,0.4,0.99,0.69,0.66,0.53,0.71,0.67,0.48
b_1,4.46,3.69,4.75,2.3,1.12,4.07,1.25,1.33,0.8,1.17,0.78,1.44,0.72,0.79,0.79,0.56
a_1,7.05,6.38,7.15,6.57,2.69,1.13,1.57,1.8,1.19,1.51,1.27,1.79,0.93,2.08,1.12,0.87
h_1,12.05,12.07,11.36,12.02,9.8,9.08,1.61,3.35,2.65,2.25,2.23,2.56,2.41,2.01,1.94,1.77
g_1,14.27,13.65,12.74,13.54,12.5,11.01,3.13,1.68,2.93,3.0,2.85,2.94,1.38,2.68,2.52,2.39
d_0,14.49,8.61,20.39,17.03,14.31,18.43,4.26,4.68,1.96,3.22,3.18,3.15,2.09,3.2,2.46,2.69
c_0,17.18,16.26,8.6,28.7,18.98,15.38,5.93,4.22,5.71,1.92,3.12,3.56,2.34,3.26,3.3,1.91
f_0,24.73,15.57,14.68,15.2,18.46,15.51,5.46,3.6,3.48,3.48,1.97,3.2,2.5,3.8,3.02,1.49
b_0,17.84,16.78,13.26,26.5,30.41,14.89,5.85,5.44,4.15,1.85,4.13,1.99,2.33,4.25,3.14,2.31
h_0,22.48,21.52,21.76,27.68,22.12,18.99,10.25,7.41,5.52,4.87,5.06,4.37,4.38,4.55,3.94,3.12
a_0,24.25,23.3,21.37,26.72,31.48,42.3,7.69,5.56,5.34,4.3,5.79,2.74,2.94,2.29,4.77,2.96
e_0,31.44,33.56,23.63,23.13,23.68,22.98,7.98,6.12,6.61,4.49,2.5,5.08,3.88,4.55,2.34,2.85
g_0,33.12,31.0,29.01,37.35,32.24,32.65,6.92,11.47,7.34,5.79,5.51,5.55,3.63,5.36,6.43,5.38
