,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.05,2.41,2.23,1.99,2.01,1.76,0.68,0.54,0.76,0.65,0.95,0.59,0.42,0.51,0.53,0.34
f_1,1.94,1.06,2.29,2.25,1.81,1.91,0.66,0.87,0.61,0.58,0.7,0.62,0.42,0.54,0.51,0.5
e_1,2.36,1.39,1.06,2.43,2.12,1.68,0.94,0.89,0.7,0.65,0.74,0.75,0.56,0.67,1.01,0.55
c_1,2.78,2.45,1.85,1.06,2.81,1.78,0.84,0.9,0.84,0.59,0.39,0.61,0.52,0.63,0.52,0.49
b_1,2.51,2.86,2.47,1.41,1.06,3.48,1.05,0.97,0.89,1.01,0.73,0.64,0.61,0.67,0.65,0.5
a_1,3.23,2.94,3.54,3.47,1.6,1.07,1.45,1.25,0.94,1.22,1.18,0.95,0.91,1.55,0.97,0.7
h_1,5.87,5.79,5.28,5.65,4.94,4.2,1.33,2.19,1.64,1.51,1.4,1.62,1.3,1.41,1.45,1.23
g_1,6.43,6.98,6.31,5.74,6.14,5.01,1.83,1.31,1.92,1.63,1.72,1.88,1.14,1.6,1.42,1.52
c_0,3.93,7.99,6.77,9.46,5.85,5.77,2.51,2.03,1.44,2.39,2.15,2.0,1.57,1.96,1.77,1.45
b_0,5.79,7.26,7.1,9.11,8.13,4.9,2.59,2.75,1.29,1.51,2.21,1.9,1.61,1.77,1.67,1.41
d_0,8.93,6.72,4.21,8.26,8.81,5.62,3.31,3.13,2.02,1.95,1.53,1.99,1.67,1.89,2.19,1.71
f_0,7.35,11.69,7.62,7.35,7.55,7.37,3.07,2.0,2.13,2.25,2.13,1.52,1.75,1.85,2.71,1.19
h_0,8.47,10.51,8.15,9.59,8.17,6.15,4.72,3.16,2.36,2.38,2.51,2.3,2.46,2.07,2.14,2.19
a_0,9.16,9.29,8.81,9.77,9.06,8.15,3.42,3.42,2.39,1.88,2.52,3.15,2.22,1.55,2.16,2.34
e_0,8.45,12.23,12.84,10.17,9.29,7.25,3.37,3.23,2.87,2.69,2.54,1.43,1.97,2.64,1.55,1.95
g_0,10.42,12.01,10.84,11.51,10.09,9.6,2.97,5.09,3.22,3.42,3.15,3.18,2.01,2.36,2.64,2.72
