,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.57,1.11,0.62,0.6,0.48,0.5,0.91,0.78,0.88,0.77,0.78,0.35,0.89,0.79,0.54,0.88
e_1,0.67,2.69,0.5,0.76,0.62,0.51,0.9,0.58,0.86,1.83,0.93,0.98,1.04,1.08,0.5,1.13
d_1,0.63,0.58,3.12,0.51,0.55,0.68,0.97,1.04,1.75,0.33,1.12,1.07,0.9,0.88,0.88,1.03
c_1,0.62,0.51,0.64,3.2,1.11,0.57,0.74,0.81,0.31,0.85,0.72,1.0,0.95,0.86,1.1,0.77
b_1,0.63,0.53,0.58,0.7,3.55,1.1,0.73,0.92,0.86,0.81,0.43,0.88,0.98,0.67,0.9,0.81
a_1,0.67,0.5,0.64,0.57,0.62,5.1,1.1,1.12,0.95,1.03,1.17,0.97,0.96,0.57,0.95,1.03
h_1,0.98,0.72,0.74,0.75,0.58,0.61,3.25,1.54,1.12,0.94,1.2,0.97,0.78,1.35,1.38,1.44
g_1,0.59,0.6,1.32,0.61,0.75,0.77,0.85,3.86,1.4,0.59,1.35,2.19,1.08,1.21,1.55,0.86
c_0,0.96,0.71,0.92,0.49,0.51,0.6,1.3,1.22,2.27,1.19,2.3,1.51,1.33,1.43,1.48,1.49
d_0,0.86,0.71,0.35,1.53,0.72,0.52,1.26,0.99,0.67,2.24,1.22,0.91,1.3,1.08,1.21,1.08
b_0,0.88,0.75,0.97,0.73,0.34,0.63,1.33,1.17,1.15,1.09,2.71,1.3,1.28,2.2,1.52,1.25
f_0,0.4,0.65,0.83,0.69,0.8,0.97,1.1,1.27,1.05,1.31,1.52,3.38,1.48,1.52,3.53,1.25
h_0,1.15,0.78,0.84,0.69,0.85,0.71,0.45,1.29,0.95,0.94,1.09,1.05,0.72,1.19,1.38,1.3
a_0,0.93,0.69,0.9,0.88,0.8,0.32,1.11,0.99,1.13,1.15,1.26,0.96,1.38,3.46,1.06,1.33
e_0,0.77,0.37,0.97,0.76,0.76,0.65,1.19,1.56,1.09,1.36,1.34,1.62,1.35,1.97,4.43,1.18
g_0,0.7,0.65,1.29,0.76,0.68,0.64,1.14,0.78,1.14,0.86,1.16,1.79,1.26,1.21,1.61,0.65
