,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,9.07,0.75,0.6,1.04,0.64,0.7,1.03,2.33,0.96,0.79,0.96,1.0,0.99,0.79,0.9,1.02
f_1,1.79,10.07,0.59,0.7,0.68,0.61,0.76,0.9,0.78,0.81,1.05,0.53,0.89,0.66,1.05,0.82
d_1,0.65,0.72,14.59,0.52,0.53,0.56,1.08,0.59,1.04,2.68,1.38,1.13,1.13,1.31,1.26,1.02
c_1,0.51,0.65,0.73,11.82,2.07,0.75,0.91,0.68,0.85,0.5,0.59,0.87,0.89,0.82,0.78,0.9
b_1,0.61,0.62,0.68,0.7,12.64,1.99,0.89,0.9,0.93,0.78,0.65,1.09,1.12,0.86,0.67,0.93
a_1,0.59,0.83,0.78,0.73,0.61,19.72,0.96,0.82,0.94,1.05,1.01,1.01,0.93,1.03,0.58,1.18
h_1,0.74,1.16,0.88,0.75,0.72,0.6,2.98,0.97,1.48,1.04,1.0,0.88,0.76,1.05,0.89,1.38
d_0,0.56,0.76,0.53,2.4,0.89,0.71,0.97,1.95,0.85,0.61,0.85,1.25,1.01,1.12,0.99,1.08
g_1,0.64,0.68,1.8,0.61,0.66,0.68,0.84,0.82,3.84,1.22,1.09,2.03,1.13,1.26,1.19,1.01
c_0,0.81,0.94,1.04,0.54,0.55,0.64,1.31,0.96,1.1,2.21,3.05,1.1,1.14,1.28,1.82,0.98
b_0,1.06,0.93,1.04,0.83,0.37,0.53,1.18,1.25,1.14,1.24,2.57,1.13,1.25,1.33,3.81,0.99
f_0,0.59,0.72,1.06,0.72,0.79,0.82,1.41,1.12,1.24,1.2,1.21,2.47,1.22,3.13,0.86,1.33
h_0,0.73,1.43,1.0,0.73,0.69,0.63,0.71,0.92,1.43,0.98,1.04,1.17,0.73,1.12,1.24,1.66
e_0,0.61,1.23,0.88,0.78,0.71,0.66,1.39,1.02,1.06,1.11,1.12,1.31,1.2,3.71,1.12,1.16
a_0,0.75,1.06,1.07,0.72,0.61,0.31,1.23,1.15,1.42,1.25,1.14,1.24,1.25,1.38,3.31,1.12
g_0,0.7,0.63,1.79,0.78,0.89,0.69,1.07,0.64,0.77,1.16,0.95,2.11,0.92,1.19,0.96,0.82
