,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.78,1.37,1.48,2.09,4.08,21.85,30.22,46.77,35.34,48.2,55.85,79.81,101.93,179.29,176.42
f_1,1.28,1.0,1.22,1.32,1.6,4.27,14.39,24.88,27.97,30.49,45.32,39.04,62.69,90.91,106.93,136.14
d_1,0.73,0.82,1.0,1.02,1.23,3.18,16.4,16.87,20.65,36.23,31.68,32.8,62.55,78.44,77.89,98.79
c_1,0.68,0.76,0.98,1.0,2.16,2.61,15.61,20.71,16.21,21.63,26.35,34.85,62.29,61.75,86.41,104.79
b_1,0.48,0.62,0.81,0.46,1.0,2.84,11.1,17.78,11.91,19.68,25.45,26.29,38.57,49.52,60.11,74.36
a_1,0.25,0.23,0.31,0.38,0.35,1.0,6.14,6.79,6.99,8.53,12.77,12.74,23.04,,30.65,33.93
h_1,0.04,0.07,0.06,0.06,0.09,0.16,1.0,1.6,1.54,1.61,2.27,2.3,5.08,4.85,7.09,6.36
g_1,0.03,0.04,0.06,0.05,0.06,0.14,0.6,1.0,0.98,0.98,1.54,1.87,2.67,3.68,4.57,4.94
d_0,0.02,0.04,0.05,0.06,0.08,0.14,0.63,1.06,1.0,1.07,1.66,1.35,3.32,3.31,5.16,4.24
c_0,0.03,0.03,0.03,0.04,0.05,0.11,0.59,1.03,0.95,1.0,2.07,1.13,2.95,2.81,4.37,4.38
b_0,0.02,0.02,0.03,0.04,0.03,0.07,0.44,0.66,0.57,0.47,1.0,0.95,1.72,3.02,2.53,3.07
f_0,0.02,0.03,0.03,0.03,0.04,0.07,0.46,0.53,0.75,0.89,1.04,1.0,1.77,2.43,2.55,4.6
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.19,0.39,0.3,0.35,0.57,0.54,1.0,1.09,2.12,1.51
a_0,0.01,0.01,0.01,0.02,0.02,,0.21,0.29,0.3,0.36,0.32,0.39,0.91,1.0,1.4,1.22
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.22,0.21,0.22,0.37,0.39,0.46,0.75,1.0,1.03
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.19,0.24,0.22,0.37,0.22,0.58,0.85,0.88,1.0
