,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.8,0.88,1.19,0.94,1.06,1.04,1.58,1.12,0.92,1.16,1.09,1.2,1.17,1.1,1.34
f_1,1.26,1.0,0.88,0.98,1.02,0.87,0.92,0.91,1.14,1.01,0.83,0.83,0.93,0.82,0.99,0.67
d_1,1.12,1.13,1.0,0.82,0.91,0.95,0.98,1.01,0.77,1.35,1.02,0.97,0.96,0.99,0.86,1.04
c_1,0.84,1.01,1.19,1.0,1.43,0.87,1.0,0.66,1.03,0.83,0.88,0.87,0.84,0.94,0.8,0.93
b_1,1.05,0.98,1.09,0.7,1.0,1.58,1.02,0.84,1.09,0.87,1.07,1.14,0.93,1.26,1.02,1.16
a_1,0.93,1.15,1.05,1.14,0.63,1.0,1.11,1.0,1.05,1.04,1.24,1.1,1.09,1.05,1.42,1.03
h_1,1.0,1.1,1.0,0.95,1.03,0.93,1.0,0.94,1.09,0.94,0.93,0.97,0.94,0.99,1.05,1.03
d_0,0.64,1.1,1.0,1.45,1.23,0.97,1.05,1.0,1.15,0.82,1.02,0.97,0.97,0.97,0.98,1.03
g_1,0.89,0.8,1.35,0.99,0.9,0.99,0.92,0.83,1.0,1.09,1.06,1.27,1.05,0.76,1.18,1.07
c_0,1.13,0.97,0.75,1.2,1.02,0.92,1.04,1.29,0.9,1.0,1.38,1.06,1.04,1.14,1.24,0.95
b_0,0.84,1.24,0.96,1.17,1.06,0.81,1.05,1.04,0.94,0.71,1.0,0.96,1.45,1.02,0.99,1.11
f_0,0.87,1.19,1.04,1.1,0.97,0.9,1.03,1.06,0.8,0.92,1.0,1.0,1.13,1.05,0.87,1.5
a_0,0.86,1.04,1.04,1.26,1.15,0.88,1.08,1.14,0.95,0.96,0.71,0.89,1.0,1.08,0.97,1.07
h_0,0.87,1.2,0.97,1.07,0.84,0.95,1.02,1.02,1.29,0.85,0.99,0.96,0.91,1.0,1.12,0.91
g_0,0.91,1.03,1.16,1.18,0.98,0.7,0.98,0.98,0.82,0.8,1.0,1.17,1.07,0.89,1.0,0.87
e_0,0.8,1.45,1.01,1.04,0.98,0.92,0.99,0.97,0.94,1.02,0.92,0.7,1.02,1.09,1.07,1.0
