,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,95.92,51.84,59.51,106.39,124.53,304.95,7893.39,12241.33,22955.1,35036.52,33451.48,35444.21,71537.97,105927.36,67129.74,173477.73
f_1,66.37,114.68,47.65,92.58,93.04,293.05,5687.43,8916.72,15609.35,19267.41,18581.42,29098.55,63482.14,77483.74,69908.6,155431.29
d_1,37.88,54.67,118.62,68.84,111.45,312.81,7031.29,9733.47,28894.61,15298.64,31631.54,34446.95,64246.67,73423.18,111482.39,141931.75
c_1,33.79,40.04,48.8,170.33,149.79,248.25,5974.29,7956.4,6125.63,15097.6,27341.1,20566.47,56163.31,70393.06,74914.17,132031.04
b_1,30.87,48.38,40.29,59.16,210.45,385.04,5671.29,8216.85,13484.22,15544.18,26226.77,16986.89,39399.34,80420.8,62661.21,128797.03
a_1,27.36,30.57,30.44,42.83,47.17,488.5,3896.62,6010.82,10448.43,13495.83,19123.23,18673.3,29859.97,59839.17,64214.48,99561.92
h_1,9.97,20.08,14.29,22.94,26.66,75.62,2992.55,3677.29,4715.52,5330.6,7694.61,9505.03,18770.54,20904.51,26602.65,56953.12
g_1,9.14,12.15,17.77,22.45,25.4,58.17,1204.46,4290.05,4022.1,4089.71,9880.25,7200.33,14766.81,21755.32,17458.82,34182.32
c_0,7.09,12.55,12.08,17.3,17.67,61.45,1428.26,2100.81,5413.74,4322.8,6664.56,12629.48,16368.28,21376.25,23700.24,40813.07
d_0,7.01,11.43,7.64,27.37,21.48,41.5,1345.99,2303.19,3151.43,5948.76,5777.31,6424.33,14900.3,21667.29,19993.67,30548.37
f_0,6.07,7.26,10.89,16.81,16.54,47.91,1225.28,1636.29,3341.64,4157.67,8598.39,5554.68,12091.43,16350.44,31466.47,27612.29
b_0,6.16,10.32,9.86,18.52,11.69,43.04,1131.63,1907.82,2563.18,3726.65,6360.33,8554.77,19704.24,17099.87,16750.98,32145.94
a_0,5.12,8.73,8.14,11.7,14.19,21.74,981.86,1409.25,2222.65,2781.49,4246.11,3563.53,15685.33,13195.22,11570.43,23700.15
h_0,5.07,9.81,8.47,9.78,11.85,35.83,632.02,1674.12,2176.03,2312.48,3776.54,3702.3,7770.64,9290.36,10039.81,25178.08
e_0,3.61,7.9,6.57,10.9,15.77,31.01,783.04,1332.35,2270.45,2591.76,3347.19,4521.54,9794.2,12311.21,20274.78,18195.69
g_0,4.23,4.95,8.67,9.37,10.73,25.62,620.86,803.64,1739.43,2025.16,4698.16,3587.14,7279.93,9420.85,10866.47,14877.85
