,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,6.25,2.72,3.08,2.45,2.78,2.74,10.25,9.8,11.45,21.93,15.25,16.78,21.64,16.38,17.78,21.42
e_1,2.23,6.27,3.03,3.55,3.08,3.2,11.18,22.24,10.79,11.25,12.94,13.7,21.69,12.98,10.17,17.91
f_1,2.78,4.49,6.47,2.81,2.36,2.71,10.0,13.51,10.19,11.82,9.89,13.14,19.05,13.83,9.11,15.4
c_1,2.73,2.84,2.67,6.7,4.88,2.6,10.41,12.97,9.07,8.35,12.66,9.95,19.46,13.03,13.08,21.74
b_1,2.79,2.77,2.5,3.01,7.99,5.46,11.53,11.67,8.79,12.02,13.51,11.07,17.65,11.6,15.08,22.26
a_1,2.91,2.63,2.9,2.68,3.0,10.47,10.88,14.45,12.57,14.58,15.29,14.93,22.51,10.59,16.57,19.5
h_1,3.19,3.01,4.03,3.22,2.71,2.57,19.32,13.91,13.78,12.82,13.98,13.48,16.03,16.94,14.72,23.62
d_0,2.41,3.02,2.94,4.83,3.68,3.07,11.35,18.83,9.83,9.64,14.74,12.32,19.64,13.37,15.61,20.64
g_1,4.3,2.67,2.74,2.92,2.84,2.86,10.28,13.7,23.4,13.85,20.98,14.84,21.09,18.95,19.92,18.49
c_0,3.41,3.13,3.47,2.77,2.21,2.76,12.64,14.4,11.03,20.63,15.58,26.86,23.26,20.87,18.15,23.27
f_0,3.28,2.58,2.75,3.24,3.43,3.48,11.53,14.68,12.73,13.61,22.55,14.13,22.1,17.01,30.56,21.29
b_0,3.32,3.08,3.6,3.5,2.07,2.64,10.95,14.96,11.23,13.43,15.58,22.81,23.02,30.17,19.18,22.64
h_0,3.51,3.24,3.93,2.94,2.62,2.81,8.53,14.55,12.79,12.47,13.74,14.18,18.06,16.0,16.08,25.94
a_0,3.33,3.01,3.54,3.18,2.85,2.01,12.91,14.78,12.2,15.28,16.48,13.09,22.84,29.85,19.47,23.83
e_0,3.75,2.02,3.56,2.96,3.2,3.04,12.37,13.14,11.15,13.93,14.78,14.05,23.55,18.21,29.63,23.76
g_0,4.54,2.62,2.86,2.9,2.94,3.06,10.39,12.02,9.58,13.71,21.52,15.13,21.27,16.73,16.76,20.78
