,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.93,0.65,0.35,0.39,0.31,0.18,0.35,0.4,0.25,0.3,0.3,0.21,0.33,0.24,0.29,0.17
e_1,0.47,0.92,0.32,0.51,0.32,0.21,0.4,0.59,0.28,0.34,0.33,0.32,0.33,0.25,0.31,0.17
d_1,0.42,0.43,0.93,0.32,0.31,0.24,0.39,0.27,0.29,0.6,0.38,0.34,0.39,0.26,0.34,0.24
c_1,0.41,0.39,0.4,0.91,0.56,0.26,0.35,0.3,0.3,0.23,0.2,0.29,0.38,0.21,0.29,0.19
b_1,0.4,0.37,0.38,0.45,0.9,0.45,0.37,0.34,0.28,0.32,0.23,0.28,0.31,0.19,0.32,0.2
a_1,0.46,0.41,0.39,0.4,0.3,0.89,0.44,0.41,0.32,0.38,0.38,0.3,0.36,0.22,0.32,0.22
h_1,0.56,0.43,0.44,0.4,0.34,0.23,0.69,0.37,0.39,0.33,0.33,0.31,0.32,0.24,0.44,0.23
d_0,0.47,0.41,0.32,0.67,0.41,0.2,0.43,0.53,0.27,0.28,0.3,0.31,0.36,0.25,0.35,0.24
g_1,0.45,0.43,0.62,0.36,0.32,0.24,0.39,0.31,0.62,0.36,0.31,0.48,0.36,0.26,0.25,0.23
c_0,0.51,0.49,0.48,0.34,0.27,0.21,0.44,0.42,0.32,0.58,0.63,0.33,0.39,0.38,0.39,0.26
b_0,0.5,0.47,0.49,0.38,0.25,0.18,0.49,0.42,0.33,0.44,0.55,0.35,0.43,0.52,0.37,0.26
f_0,0.4,0.37,0.45,0.42,0.43,0.24,0.47,0.42,0.36,0.39,0.38,0.51,0.4,0.27,0.31,0.47
h_0,0.56,0.43,0.43,0.42,0.38,0.22,0.31,0.32,0.42,0.32,0.32,0.32,0.35,0.25,0.4,0.23
a_0,0.49,0.42,0.46,0.46,0.37,0.21,0.49,0.41,0.33,0.37,0.34,0.31,0.4,0.47,0.35,0.22
g_0,0.4,0.42,0.57,0.43,0.36,0.28,0.39,0.34,0.28,0.39,0.36,0.43,0.4,0.25,0.26,0.27
e_0,0.5,0.34,0.49,0.39,0.39,0.25,0.46,0.33,0.38,0.37,0.4,0.35,0.46,0.29,0.34,0.49
