,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.91,0.55,0.3,0.31,0.24,0.15,0.25,0.21,0.28,0.22,0.25,0.12,0.18,0.24,0.2,0.1
e_1,0.36,0.91,0.28,0.35,0.22,0.19,0.35,0.23,0.49,0.3,0.3,0.25,0.22,0.28,0.23,0.12
d_1,0.35,0.32,0.91,0.25,0.23,0.21,0.28,0.24,0.16,0.52,0.34,0.27,0.2,0.29,0.23,0.18
c_1,0.34,0.32,0.31,0.9,0.47,0.19,0.24,0.19,0.26,0.15,0.16,0.2,0.19,0.26,0.2,0.14
b_1,0.32,0.3,0.33,0.3,0.89,0.4,0.26,0.22,0.27,0.23,0.13,0.22,0.13,0.27,0.2,0.15
a_1,0.35,0.31,0.36,0.3,0.29,0.89,0.3,0.26,0.28,0.27,0.23,0.24,0.12,0.36,0.23,0.15
h_1,0.49,0.33,0.36,0.35,0.24,0.18,0.61,0.32,0.33,0.31,0.27,0.24,0.19,0.22,0.33,0.19
g_1,0.32,0.33,0.57,0.31,0.23,0.22,0.26,0.6,0.23,0.3,0.27,0.34,0.17,0.27,0.23,0.17
d_0,0.37,0.32,0.23,0.6,0.3,0.19,0.31,0.24,0.5,0.2,0.25,0.24,0.21,0.3,0.23,0.17
c_0,0.42,0.38,0.35,0.25,0.21,0.19,0.33,0.32,0.34,0.52,0.61,0.29,0.28,0.32,0.24,0.22
b_0,0.45,0.36,0.37,0.36,0.22,0.16,0.32,0.31,0.31,0.29,0.49,0.21,0.45,0.37,0.26,0.17
f_0,0.31,0.31,0.38,0.38,0.3,0.23,0.37,0.25,0.35,0.31,0.3,0.48,0.2,0.32,0.28,0.42
a_0,0.48,0.35,0.36,0.35,0.25,0.14,0.36,0.31,0.33,0.31,0.34,0.26,0.47,0.3,0.27,0.17
h_0,0.55,0.39,0.39,0.34,0.26,0.15,0.21,0.36,0.27,0.27,0.26,0.25,0.21,0.22,0.32,0.16
g_0,0.36,0.33,0.49,0.33,0.26,0.24,0.33,0.19,0.29,0.28,0.24,0.38,0.23,0.32,0.18,0.2
e_0,0.4,0.29,0.39,0.42,0.27,0.2,0.29,0.32,0.29,0.3,0.29,0.21,0.23,0.34,0.27,0.42
