,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.48,1.24,1.3,1.84,1.53,1.56,3.08,2.77,5.31,3.29,3.62,3.54,4.13,3.5,3.25,3.99
d_1,1.54,2.53,1.67,1.28,1.41,1.5,3.09,2.58,2.41,4.69,3.6,3.35,3.52,3.88,3.35,3.95
f_1,2.21,1.31,2.52,1.47,1.41,1.37,2.22,2.57,3.06,3.11,3.15,2.76,3.99,3.34,2.77,4.4
c_1,1.33,1.62,1.57,2.62,2.34,1.19,2.57,2.73,2.56,2.18,2.24,2.52,4.07,3.27,3.1,3.75
b_1,1.4,1.48,1.52,1.28,2.7,2.5,3.43,2.9,3.17,3.19,2.16,3.06,3.83,2.56,3.14,3.98
a_1,1.41,1.69,1.58,1.66,1.25,3.23,2.93,3.45,3.28,3.3,3.69,3.69,4.55,2.77,3.66,4.21
h_1,1.4,1.53,2.07,1.65,1.31,1.56,4.26,3.79,3.19,3.29,3.55,3.32,3.99,3.33,3.32,5.11
g_1,1.43,2.18,1.54,1.54,1.44,1.34,2.61,4.38,2.75,3.54,3.22,4.54,3.96,3.28,3.8,3.39
d_0,1.24,1.44,1.63,2.59,1.56,1.33,3.11,3.31,4.2,2.75,3.45,3.28,4.33,3.42,3.76,4.05
c_0,1.49,1.51,1.66,1.43,1.33,1.6,3.17,3.06,3.48,4.27,5.7,4.25,4.63,4.15,4.07,4.3
b_0,1.31,1.6,1.64,1.85,1.49,1.47,2.94,3.37,3.29,2.7,4.46,3.99,4.27,5.79,3.96,4.25
f_0,1.3,1.69,1.56,1.89,1.42,1.42,3.37,3.04,3.58,3.14,3.23,4.69,4.8,3.47,6.68,3.79
h_0,1.43,1.8,2.05,1.6,1.47,1.25,2.4,3.44,3.26,3.03,3.46,3.12,3.67,3.62,3.54,5.06
a_0,1.53,1.53,1.65,1.66,1.78,1.2,3.45,3.53,3.2,3.08,3.14,4.06,4.59,5.14,3.96,4.17
e_0,1.23,1.83,1.91,1.7,1.46,1.24,3.3,2.82,3.37,3.5,3.57,2.88,4.92,3.71,5.43,4.35
g_0,1.4,2.07,1.51,1.61,1.44,1.57,2.73,2.87,3.23,3.28,3.48,4.69,4.23,3.89,4.25,3.82
