,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,1.22,1.64,1.61,3.73,22.74,28.2,42.93,31.18,46.71,64.07,82.35,108.3,124.71,139.0
f_1,1.27,1.0,1.1,1.4,1.61,2.75,16.12,28.36,30.25,30.91,42.21,55.16,64.31,96.79,104.75,133.41
d_1,0.79,0.92,1.0,1.01,1.19,2.64,17.43,18.98,23.61,35.63,40.13,44.19,61.27,82.49,86.25,86.78
c_1,0.62,0.7,1.02,1.0,1.65,2.41,13.48,20.56,15.53,20.48,26.74,35.97,54.74,68.67,83.72,99.82
b_1,0.62,0.61,0.83,0.6,1.0,3.07,13.98,19.4,17.03,26.47,25.36,34.09,51.05,63.96,73.61,83.44
a_1,0.27,0.36,0.39,0.42,0.33,1.0,6.75,8.14,8.19,10.79,16.2,18.88,20.96,31.12,36.77,40.89
h_1,0.05,0.06,0.06,0.07,0.07,0.15,1.0,1.5,1.32,1.5,2.14,2.64,3.86,4.29,5.6,7.85
g_1,0.04,0.04,0.05,0.05,0.05,0.12,0.65,1.0,0.94,1.23,1.7,2.31,2.18,3.74,3.57,4.46
d_0,0.02,0.03,0.04,0.06,0.06,0.12,0.75,1.01,1.0,0.99,1.4,2.01,2.69,3.45,4.42,4.87
c_0,0.03,0.03,0.03,0.05,0.04,0.09,0.67,0.79,1.05,1.0,1.93,1.95,2.27,3.3,3.84,3.9
b_0,0.02,0.02,0.02,0.04,0.04,0.06,0.47,0.6,0.7,0.54,1.0,1.19,1.94,3.67,2.63,3.03
f_0,0.02,0.02,0.02,0.03,0.03,0.05,0.37,0.42,0.48,0.52,0.78,1.0,1.34,1.87,2.98,2.0
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.25,0.45,0.36,0.42,0.54,0.7,1.0,1.39,1.51,1.9
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.23,0.28,0.28,0.31,0.28,0.51,0.69,1.0,1.14,1.13
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.2,0.28,0.22,0.28,0.39,0.33,0.66,0.92,1.0,1.14
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.21,0.19,0.26,0.34,0.49,0.53,0.84,0.91,1.0
