,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.04,1.82,1.57,1.46,1.4,1.25,0.54,0.54,0.4,0.5,0.45,0.44,0.33,0.38,0.35,0.26
e_1,1.59,1.05,1.14,1.6,1.51,1.38,0.58,0.56,0.61,0.47,0.52,0.45,0.38,0.4,0.53,0.37
f_1,1.47,1.64,1.04,1.62,1.56,1.29,0.46,0.5,0.62,0.43,0.49,0.4,0.29,0.38,0.34,0.35
c_1,1.89,1.37,1.65,1.05,1.63,1.47,0.59,0.33,0.56,0.5,0.43,0.4,0.38,0.4,0.4,0.4
b_1,2.05,1.81,2.1,1.31,1.05,1.75,0.77,0.51,0.68,0.76,0.52,0.81,0.45,0.5,0.48,0.44
a_1,2.43,2.12,2.48,2.39,1.43,1.06,1.01,0.75,0.94,0.79,0.7,0.83,0.6,0.82,0.7,0.51
h_1,4.54,4.32,4.97,4.5,3.54,3.37,1.25,1.37,1.82,1.23,1.26,1.32,1.2,1.17,1.07,1.08
d_0,5.6,3.62,4.87,5.9,5.34,4.04,1.92,1.37,1.89,1.46,1.43,1.44,1.23,1.25,1.4,1.28
g_1,5.63,4.92,5.16,5.44,5.22,3.71,1.63,1.71,1.25,1.65,1.54,1.53,1.07,1.47,1.45,1.31
c_0,3.85,5.95,5.62,6.7,4.65,3.92,2.13,2.18,1.77,1.34,1.61,1.94,1.33,1.52,1.46,1.29
f_0,5.48,5.55,7.19,6.0,5.62,4.76,2.09,1.76,1.57,1.71,1.37,1.66,1.34,1.33,1.71,0.99
b_0,5.12,5.56,6.03,7.42,5.5,4.44,2.24,2.08,1.95,1.16,1.72,1.37,1.35,1.92,1.71,1.31
h_0,6.97,6.58,7.7,6.58,6.5,5.18,2.89,2.18,2.45,1.99,1.98,1.85,1.73,1.69,1.66,1.57
a_0,7.15,8.02,7.99,7.98,7.48,6.54,2.66,2.55,2.2,2.0,2.05,1.38,1.71,1.42,1.87,1.6
e_0,7.11,8.53,10.87,8.19,6.66,5.32,2.96,2.29,2.24,2.25,1.43,2.17,1.71,1.84,1.45,1.66
g_0,8.09,7.78,8.81,7.18,6.43,6.41,2.53,2.38,2.84,2.3,2.48,2.3,1.5,1.94,1.95,1.74
